,Region,684,689
0,Belgium,,342
1,Bulgaria,,578
2,Czechia,,873
3,Denmark,,81
4,Germany,,2104
5,Estonia,,22
6,Ireland,,63
7,Greece,,651
8,Spain,,217
9,France,,682
10,Croatia,,475
11,Italy,,543
12,Cyprus,,11
13,Latvia,,83
14,Lithuania,,140
15,Luxembourg,,16
16,Hungary,,1290
17,Malta,,0
18,Netherlands,,383
19,Austria,,435
20,Poland,,2621
21,Portugal,,156
22,Romania,,506
23,Slovenia,,108
24,Slovakia,,572
25,Finland,,67
26,Sweden,,9
27,United Kingdom,,707
28,Iceland,,0
29,Liechtenstein,,1
30,Norway,,32
31,Switzerland,,149
