,Region,586,591
0,Belgium,,65
1,Bulgaria,,284
2,Czechia,,19
3,Denmark,,16
4,Germany,,167
5,Estonia,,5
6,Ireland,,22
7,Greece,,273
8,Spain,,951
9,France,,854
10,Croatia,,30
11,Italy,,393
12,Cyprus,,13
13,Latvia,,3
14,Lithuania,,61
15,Luxembourg,,0
16,Hungary,,0
17,Malta,,6
18,Netherlands,,58
19,Austria,,24
20,Poland,,22
21,Portugal,,88
22,Romania,,169
23,Slovenia,,10
24,Slovakia,,2
25,Finland,,8
26,Sweden,,10
27,United Kingdom,,830
28,Iceland,,4
29,Liechtenstein,,0
30,Norway,,3
31,Switzerland,,35
