,Region,670,675
0,Belgium,,269
1,Bulgaria,,799
2,Czechia,,708
3,Denmark,,56
4,Germany,,1401
5,Estonia,,48
6,Ireland,,13
7,Greece,,583
8,Spain,,98
9,France,,297
10,Croatia,,470
11,Italy,,414
12,Cyprus,,1
13,Latvia,,103
14,Lithuania,,201
15,Luxembourg,,3
16,Hungary,,1032
17,Malta,,2
18,Netherlands,,246
19,Austria,,305
20,Poland,,1799
21,Portugal,,89
22,Romania,,1417
23,Slovenia,,129
24,Slovakia,,343
25,Finland,,27
26,Sweden,,26
27,United Kingdom,,949
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,43
31,Switzerland,,56
