,Region,607,612
0,Belgium,,32
1,Bulgaria,,494
2,Czechia,,18
3,Denmark,,18
4,Germany,,342
5,Estonia,,16
6,Ireland,,5
7,Greece,,294
8,Spain,,290
9,France,,442
10,Croatia,,58
11,Italy,,360
12,Cyprus,,0
13,Latvia,,30
14,Lithuania,,107
15,Luxembourg,,0
16,Hungary,,34
17,Malta,,3
18,Netherlands,,57
19,Austria,,76
20,Poland,,58
21,Portugal,,32
22,Romania,,659
23,Slovenia,,32
24,Slovakia,,1
25,Finland,,15
26,Sweden,,78
27,United Kingdom,,969
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,7
31,Switzerland,,57
