,Region,663,668
0,Belgium,,86
1,Bulgaria,,1162
2,Czechia,,530
3,Denmark,,54
4,Germany,,1123
5,Estonia,,63
6,Ireland,,81
7,Greece,,568
8,Spain,,185
9,France,,190
10,Croatia,,451
11,Italy,,395
12,Cyprus,,7
13,Latvia,,273
14,Lithuania,,170
15,Luxembourg,,7
16,Hungary,,726
17,Malta,,0
18,Netherlands,,206
19,Austria,,207
20,Poland,,1255
21,Portugal,,86
22,Romania,,2014
23,Slovenia,,138
24,Slovakia,,363
25,Finland,,27
26,Sweden,,12
27,United Kingdom,,935
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,36
31,Switzerland,,62
