,Region,509,514
0,Belgium,,42
1,Bulgaria,,30
2,Czechia,,57
3,Denmark,,10
4,Germany,,322
5,Estonia,,0
6,Ireland,,0
7,Greece,,78
8,Spain,,264
9,France,,194
10,Croatia,,19
11,Italy,,366
12,Cyprus,,11
13,Latvia,,44
14,Lithuania,,21
15,Luxembourg,,0
16,Hungary,,21
17,Malta,,0
18,Netherlands,,10
19,Austria,,17
20,Poland,,338
21,Portugal,,14
22,Romania,,863
23,Slovenia,,17
24,Slovakia,,16
25,Finland,,0
26,Sweden,,21
27,United Kingdom,,80
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,0
31,Switzerland,,40
