,Region,740,745
0,Belgium,,175
1,Bulgaria,,462
2,Czechia,,115
3,Denmark,,165
4,Germany,,918
5,Estonia,,48
6,Ireland,,34
7,Greece,,756
8,Spain,,1286
9,France,,2029
10,Croatia,,399
11,Italy,,2599
12,Cyprus,,15
13,Latvia,,77
14,Lithuania,,99
15,Luxembourg,,1
16,Hungary,,300
17,Malta,,17
18,Netherlands,,45
19,Austria,,113
20,Poland,,972
21,Portugal,,323
22,Romania,,537
23,Slovenia,,105
24,Slovakia,,78
25,Finland,,23
26,Sweden,,128
27,United Kingdom,,1607
28,Iceland,,1
29,Liechtenstein,,0
30,Norway,,24
31,Switzerland,,81
