,Region,628,633
0,Belgium,,63
1,Bulgaria,,586
2,Czechia,,34
3,Denmark,,10
4,Germany,,383
5,Estonia,,43
6,Ireland,,19
7,Greece,,209
8,Spain,,210
9,France,,231
10,Croatia,,82
11,Italy,,209
12,Cyprus,,6
13,Latvia,,75
14,Lithuania,,185
15,Luxembourg,,1
16,Hungary,,78
17,Malta,,3
18,Netherlands,,20
19,Austria,,63
20,Poland,,183
21,Portugal,,54
22,Romania,,2323
23,Slovenia,,151
24,Slovakia,,68
25,Finland,,20
26,Sweden,,12
27,United Kingdom,,705
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,4
31,Switzerland,,34
