,Region,753,759
0,Belgium,,380
1,Bulgaria,,695
2,Czechia,,411
3,Denmark,,202
4,Germany,,1323
5,Estonia,,49
6,Ireland,,34
7,Greece,,662
8,Spain,,2253
9,France,,2469
10,Croatia,,394
11,Italy,,1975
12,Cyprus,,48
13,Latvia,,97
14,Lithuania,,121
15,Luxembourg,,12
16,Hungary,,718
17,Malta,,24
18,Netherlands,,70
19,Austria,,168
20,Poland,,1595
21,Portugal,,294
22,Romania,,1096
23,Slovenia,,143
24,Slovakia,,120
25,Finland,,122
26,Sweden,,288
27,United Kingdom,,1159
28,Iceland,,8
29,Liechtenstein,,0
30,Norway,,61
31,Switzerland,,178
