,Region,830,836
0,Belgium,,3
1,Bulgaria,,51
2,Czechia,,71
3,Denmark,,76
4,Germany,,882
5,Estonia,,5
6,Ireland,,114
7,Greece,,268
8,Spain,,702
9,France,,937
10,Croatia,,51
11,Italy,,786
12,Cyprus,,5
13,Latvia,,45
14,Lithuania,,35
15,Luxembourg,,3
16,Hungary,,138
17,Malta,,11
18,Netherlands,,47
19,Austria,,230
20,Poland,,84
21,Portugal,,114
22,Romania,,52
23,Slovenia,,25
24,Slovakia,,37
25,Finland,,347
26,Sweden,,80
27,United Kingdom,,237
28,Iceland,,3
29,Liechtenstein,,0
30,Norway,,33
31,Switzerland,,36
