,Region,621,626
0,Belgium,,39
1,Bulgaria,,519
2,Czechia,,31
3,Denmark,,27
4,Germany,,322
5,Estonia,,24
6,Ireland,,53
7,Greece,,238
8,Spain,,133
9,France,,318
10,Croatia,,80
11,Italy,,264
12,Cyprus,,0
13,Latvia,,76
14,Lithuania,,204
15,Luxembourg,,0
16,Hungary,,58
17,Malta,,3
18,Netherlands,,39
19,Austria,,52
20,Poland,,133
21,Portugal,,40
22,Romania,,1506
23,Slovenia,,34
24,Slovakia,,94
25,Finland,,27
26,Sweden,,93
27,United Kingdom,,681
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,11
31,Switzerland,,59
