,Region,481,486
0,Belgium,,129
1,Bulgaria,,155
2,Czechia,,168
3,Denmark,,0
4,Germany,,1038
5,Estonia,,13
6,Ireland,,25
7,Greece,,298
8,Spain,,530
9,France,,807
10,Croatia,,210
11,Italy,,1011
12,Cyprus,,6
13,Latvia,,72
14,Lithuania,,57
15,Luxembourg,,0
16,Hungary,,377
17,Malta,,0
18,Netherlands,,114
19,Austria,,53
20,Poland,,898
21,Portugal,,20
22,Romania,,376
23,Slovenia,,28
24,Slovakia,,167
25,Finland,,4
26,Sweden,,88
27,United Kingdom,,73
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,0
31,Switzerland,,10
