,Region,635,640
0,Belgium,,65
1,Bulgaria,,592
2,Czechia,,69
3,Denmark,,24
4,Germany,,383
5,Estonia,,40
6,Ireland,,21
7,Greece,,228
8,Spain,,150
9,France,,161
10,Croatia,,145
11,Italy,,211
12,Cyprus,,3
13,Latvia,,85
14,Lithuania,,231
15,Luxembourg,,2
16,Hungary,,89
17,Malta,,0
18,Netherlands,,66
19,Austria,,67
20,Poland,,241
21,Portugal,,63
22,Romania,,2733
23,Slovenia,,21
24,Slovakia,,141
25,Finland,,8
26,Sweden,,26
27,United Kingdom,,849
28,Iceland,,0
29,Liechtenstein,,1
30,Norway,,22
31,Switzerland,,39
