,Region,495,500
0,Belgium,,78
1,Bulgaria,,97
2,Czechia,,45
3,Denmark,,4
4,Germany,,769
5,Estonia,,8
6,Ireland,,0
7,Greece,,213
8,Spain,,180
9,France,,703
10,Croatia,,57
11,Italy,,587
12,Cyprus,,6
13,Latvia,,32
14,Lithuania,,75
15,Luxembourg,,3
16,Hungary,,125
17,Malta,,1
18,Netherlands,,61
19,Austria,,47
20,Poland,,494
21,Portugal,,1
22,Romania,,287
23,Slovenia,,18
24,Slovakia,,32
25,Finland,,16
26,Sweden,,81
27,United Kingdom,,74
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,0
31,Switzerland,,25
