,Region,432,437
0,Belgium,,238
1,Bulgaria,,713
2,Czechia,,985
3,Denmark,,17
4,Germany,,895
5,Estonia,,82
6,Ireland,,113
7,Greece,,463
8,Spain,,2086
9,France,,1757
10,Croatia,,160
11,Italy,,2993
12,Cyprus,,13
13,Latvia,,35
14,Lithuania,,61
15,Luxembourg,,4
16,Hungary,,1973
17,Malta,,7
18,Netherlands,,173
19,Austria,,188
20,Poland,,2575
21,Portugal,,53
22,Romania,,1115
23,Slovenia,,50
24,Slovakia,,356
25,Finland,,3
26,Sweden,,160
27,United Kingdom,,250
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,0
31,Switzerland,,69
