,Region,439,444
0,Belgium,,280
1,Bulgaria,,955
2,Czechia,,859
3,Denmark,,17
4,Germany,,854
5,Estonia,,83
6,Ireland,,31
7,Greece,,594
8,Spain,,515
9,France,,2711
10,Croatia,,209
11,Italy,,3037
12,Cyprus,,7
13,Latvia,,44
14,Lithuania,,53
15,Luxembourg,,8
16,Hungary,,1745
17,Malta,,5
18,Netherlands,,175
19,Austria,,189
20,Poland,,3145
21,Portugal,,29
22,Romania,,860
23,Slovenia,,56
24,Slovakia,,568
25,Finland,,38
26,Sweden,,125
27,United Kingdom,,93
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,21
31,Switzerland,,48
