,Region,767,773
0,Belgium,,269
1,Bulgaria,,380
2,Czechia,,434
3,Denmark,,289
4,Germany,,1463
5,Estonia,,70
6,Ireland,,25
7,Greece,,342
8,Spain,,1192
9,France,,2216
10,Croatia,,167
11,Italy,,1239
12,Cyprus,,52
13,Latvia,,157
14,Lithuania,,142
15,Luxembourg,,1
16,Hungary,,649
17,Malta,,5
18,Netherlands,,113
19,Austria,,231
20,Poland,,1422
21,Portugal,,132
22,Romania,,793
23,Slovenia,,87
24,Slovakia,,232
25,Finland,,126
26,Sweden,,250
27,United Kingdom,,667
28,Iceland,,6
29,Liechtenstein,,3
30,Norway,,1
31,Switzerland,,51
