,Region,614,619
0,Belgium,,40
1,Bulgaria,,344
2,Czechia,,18
3,Denmark,,12
4,Germany,,384
5,Estonia,,22
6,Ireland,,32
7,Greece,,159
8,Spain,,322
9,France,,371
10,Croatia,,116
11,Italy,,339
12,Cyprus,,5
13,Latvia,,43
14,Lithuania,,116
15,Luxembourg,,2
16,Hungary,,30
17,Malta,,0
18,Netherlands,,40
19,Austria,,79
20,Poland,,94
21,Portugal,,32
22,Romania,,1023
23,Slovenia,,47
24,Slovakia,,26
25,Finland,,14
26,Sweden,,56
27,United Kingdom,,865
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,1
31,Switzerland,,40
