,Region,746,752
0,Belgium,,284
1,Bulgaria,,680
2,Czechia,,270
3,Denmark,,146
4,Germany,,921
5,Estonia,,31
6,Ireland,,130
7,Greece,,711
8,Spain,,1371
9,France,,2009
10,Croatia,,384
11,Italy,,2646
12,Cyprus,,2
13,Latvia,,89
14,Lithuania,,137
15,Luxembourg,,11
16,Hungary,,632
17,Malta,,21
18,Netherlands,,77
19,Austria,,165
20,Poland,,1551
21,Portugal,,399
22,Romania,,823
23,Slovenia,,141
24,Slovakia,,113
25,Finland,,164
26,Sweden,,357
27,United Kingdom,,2136
28,Iceland,,2
29,Liechtenstein,,0
30,Norway,,27
31,Switzerland,,119
