,Region,788,794
0,Belgium,,125
1,Bulgaria,,112
2,Czechia,,206
3,Denmark,,217
4,Germany,,1301
5,Estonia,,47
6,Ireland,,34
7,Greece,,385
8,Spain,,419
9,France,,800
10,Croatia,,82
11,Italy,,803
12,Cyprus,,22
13,Latvia,,66
14,Lithuania,,102
15,Luxembourg,,3
16,Hungary,,209
17,Malta,,7
18,Netherlands,,139
19,Austria,,164
20,Poland,,659
21,Portugal,,96
22,Romania,,263
23,Slovenia,,16
24,Slovakia,,196
25,Finland,,315
26,Sweden,,285
27,United Kingdom,,782
28,Iceland,,15
29,Liechtenstein,,1
30,Norway,,159
31,Switzerland,,114
