,Region,726,731
0,Belgium,,95
1,Bulgaria,,582
2,Czechia,,172
3,Denmark,,153
4,Germany,,1115
5,Estonia,,29
6,Ireland,,103
7,Greece,,645
8,Spain,,916
9,France,,1501
10,Croatia,,225
11,Italy,,2619
12,Cyprus,,29
13,Latvia,,88
14,Lithuania,,78
15,Luxembourg,,16
16,Hungary,,313
17,Malta,,29
18,Netherlands,,110
19,Austria,,48
20,Poland,,2354
21,Portugal,,236
22,Romania,,232
23,Slovenia,,30
24,Slovakia,,408
25,Finland,,98
26,Sweden,,116
27,United Kingdom,,1735
28,Iceland,,5
29,Liechtenstein,,2
30,Norway,,54
31,Switzerland,,113
