,Region,446,451
0,Belgium,,342
1,Bulgaria,,771
2,Czechia,,691
3,Denmark,,18
4,Germany,,1365
5,Estonia,,85
6,Ireland,,79
7,Greece,,512
8,Spain,,861
9,France,,3021
10,Croatia,,312
11,Italy,,3181
12,Cyprus,,11
13,Latvia,,61
14,Lithuania,,95
15,Luxembourg,,21
16,Hungary,,1765
17,Malta,,0
18,Netherlands,,140
19,Austria,,240
20,Poland,,3997
21,Portugal,,31
22,Romania,,1006
23,Slovenia,,25
24,Slovakia,,541
25,Finland,,40
26,Sweden,,92
27,United Kingdom,,128
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,5
31,Switzerland,,105
