,Region,600,605
0,Belgium,,43
1,Bulgaria,,490
2,Czechia,,0
3,Denmark,,23
4,Germany,,322
5,Estonia,,15
6,Ireland,,55
7,Greece,,294
8,Spain,,372
9,France,,589
10,Croatia,,103
11,Italy,,385
12,Cyprus,,14
13,Latvia,,30
14,Lithuania,,79
15,Luxembourg,,2
16,Hungary,,26
17,Malta,,6
18,Netherlands,,17
19,Austria,,46
20,Poland,,46
21,Portugal,,53
22,Romania,,310
23,Slovenia,,15
24,Slovakia,,6
25,Finland,,17
26,Sweden,,2
27,United Kingdom,,959
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,5
31,Switzerland,,36
