,Region,733,738
0,Belgium,,154
1,Bulgaria,,593
2,Czechia,,143
3,Denmark,,138
4,Germany,,741
5,Estonia,,19
6,Ireland,,20
7,Greece,,675
8,Spain,,961
9,France,,1744
10,Croatia,,278
11,Italy,,2584
12,Cyprus,,40
13,Latvia,,65
14,Lithuania,,116
15,Luxembourg,,5
16,Hungary,,589
17,Malta,,36
18,Netherlands,,68
19,Austria,,62
20,Poland,,797
21,Portugal,,317
22,Romania,,323
23,Slovenia,,106
24,Slovakia,,318
25,Finland,,0
26,Sweden,,145
27,United Kingdom,,1672
28,Iceland,,0
29,Liechtenstein,,2
30,Norway,,35
31,Switzerland,,110
