,Region,488,493
0,Belgium,,109
1,Bulgaria,,144
2,Czechia,,36
3,Denmark,,4
4,Germany,,1061
5,Estonia,,9
6,Ireland,,0
7,Greece,,309
8,Spain,,134
9,France,,138
10,Croatia,,162
11,Italy,,754
12,Cyprus,,14
13,Latvia,,78
14,Lithuania,,86
15,Luxembourg,,5
16,Hungary,,201
17,Malta,,0
18,Netherlands,,111
19,Austria,,52
20,Poland,,687
21,Portugal,,4
22,Romania,,347
23,Slovenia,,27
24,Slovakia,,18
25,Finland,,5
26,Sweden,,49
27,United Kingdom,,34
28,Iceland,,0
29,Liechtenstein,,0
30,Norway,,0
31,Switzerland,,55
