,Region,698,703
0,Belgium,,213
1,Bulgaria,,444
2,Czechia,,732
3,Denmark,,75
4,Germany,,2610
5,Estonia,,35
6,Ireland,,17
7,Greece,,635
8,Spain,,285
9,France,,1182
10,Croatia,,310
11,Italy,,911
12,Cyprus,,15
13,Latvia,,55
14,Lithuania,,150
15,Luxembourg,,0
16,Hungary,,876
17,Malta,,0
18,Netherlands,,392
19,Austria,,225
20,Poland,,2919
21,Portugal,,103
22,Romania,,356
23,Slovenia,,73
24,Slovakia,,736
25,Finland,,33
26,Sweden,,31
27,United Kingdom,,682
28,Iceland,,1
29,Liechtenstein,,3
30,Norway,,44
31,Switzerland,,178
