,Region,677,682
0,Belgium,,304
1,Bulgaria,,684
2,Czechia,,981
3,Denmark,,80
4,Germany,,1842
5,Estonia,,55
6,Ireland,,41
7,Greece,,729
8,Spain,,92
9,France,,500
10,Croatia,,474
11,Italy,,504
12,Cyprus,,0
13,Latvia,,178
14,Lithuania,,140
15,Luxembourg,,4
16,Hungary,,1180
17,Malta,,3
18,Netherlands,,436
19,Austria,,497
20,Poland,,2184
21,Portugal,,114
22,Romania,,852
23,Slovenia,,124
24,Slovakia,,434
25,Finland,,33
26,Sweden,,31
27,United Kingdom,,654
28,Iceland,,1
29,Liechtenstein,,0
30,Norway,,66
31,Switzerland,,111
