,Region,795,801
0,Belgium,,197
1,Bulgaria,,123
2,Czechia,,146
3,Denmark,,168
4,Germany,,402
5,Estonia,,32
6,Ireland,,86
7,Greece,,233
8,Spain,,749
9,France,,681
10,Croatia,,71
11,Italy,,1012
12,Cyprus,,21
13,Latvia,,75
14,Lithuania,,111
15,Luxembourg,,18
16,Hungary,,261
17,Malta,,3
18,Netherlands,,120
19,Austria,,322
20,Poland,,471
21,Portugal,,153
22,Romania,,180
23,Slovenia,,34
24,Slovakia,,124
25,Finland,,334
26,Sweden,,178
27,United Kingdom,,1027
28,Iceland,,4
29,Liechtenstein,,0
30,Norway,,597
31,Switzerland,,224
