,Region,691,696
0,Belgium,,373
1,Bulgaria,,581
2,Czechia,,778
3,Denmark,,58
4,Germany,,2769
5,Estonia,,26
6,Ireland,,96
7,Greece,,643
8,Spain,,190
9,France,,978
10,Croatia,,325
11,Italy,,718
12,Cyprus,,12
13,Latvia,,89
14,Lithuania,,98
15,Luxembourg,,0
16,Hungary,,1282
17,Malta,,3
18,Netherlands,,484
19,Austria,,305
20,Poland,,2827
21,Portugal,,130
22,Romania,,455
23,Slovenia,,95
24,Slovakia,,545
25,Finland,,56
26,Sweden,,10
27,United Kingdom,,711
28,Iceland,,0
29,Liechtenstein,,3
30,Norway,,32
31,Switzerland,,177
