,Region,760,766
0,Belgium,,393
1,Bulgaria,,653
2,Czechia,,468
3,Denmark,,291
4,Germany,,1526
5,Estonia,,54
6,Ireland,,126
7,Greece,,579
8,Spain,,2521
9,France,,1937
10,Croatia,,355
11,Italy,,1884
12,Cyprus,,34
13,Latvia,,74
14,Lithuania,,142
15,Luxembourg,,18
16,Hungary,,797
17,Malta,,2
18,Netherlands,,100
19,Austria,,266
20,Poland,,1837
21,Portugal,,280
22,Romania,,922
23,Slovenia,,99
24,Slovakia,,152
25,Finland,,151
26,Sweden,,412
27,United Kingdom,,870
28,Iceland,,2
29,Liechtenstein,,0
30,Norway,,23
31,Switzerland,,85
