,Region,705,710
0,Belgium,,231
1,Bulgaria,,420
2,Czechia,,364
3,Denmark,,89
4,Germany,,1676
5,Estonia,,38
6,Ireland,,49
7,Greece,,509
8,Spain,,508
9,France,,1185
10,Croatia,,275
11,Italy,,1026
12,Cyprus,,5
13,Latvia,,42
14,Lithuania,,192
15,Luxembourg,,0
16,Hungary,,583
17,Malta,,5
18,Netherlands,,162
19,Austria,,62
20,Poland,,2679
21,Portugal,,96
22,Romania,,207
23,Slovenia,,30
24,Slovakia,,248
25,Finland,,74
26,Sweden,,40
27,United Kingdom,,676
28,Iceland,,1
29,Liechtenstein,,3
30,Norway,,57
31,Switzerland,,109
