,Region,809,815
0,Belgium,,175
1,Bulgaria,,126
2,Czechia,,164
3,Denmark,,103
4,Germany,,1805
5,Estonia,,24
6,Ireland,,112
7,Greece,,514
8,Spain,,16
9,France,,793
10,Croatia,,68
11,Italy,,1032
12,Cyprus,,30
13,Latvia,,34
14,Lithuania,,55
15,Luxembourg,,5
16,Hungary,,183
17,Malta,,26
18,Netherlands,,91
19,Austria,,228
20,Poland,,269
21,Portugal,,115
22,Romania,,88
23,Slovenia,,48
24,Slovakia,,144
25,Finland,,234
26,Sweden,,91
27,United Kingdom,,2633
28,Iceland,,4
29,Liechtenstein,,0
30,Norway,,185
31,Switzerland,,31
