,State,452,458,465,472
0,Washington,385549,10831,12998,14526
1,Illinois,1302134,26182,27858,29228
2,California,3718210,20707,20141,19552
3,Arizona,853761,4694,4307,4114
4,Massachusetts,672657,12809,10890,8617
5,Wisconsin,651545,7014,7424,7829
6,Texas,2850575,24045,23540,23722
7,Nebraska,216473,2313,2175,1824
8,Utah,392757,2571,2512,2365
9,Oregon,175121,5640,6993,8014
10,Florida,2168901,46886,50045,52445
11,New York,1998912,39403,32788,26975
12,Rhode Island,144149,3048,3166,3139
13,Georgia,1084272,10973,12385,13362
14,New Hampshire,91586,2765,2357,1882
15,North Carolina,943693,15087,17088,19796
16,New Jersey,978853,21743,18100,13841
17,Colorado,490289,12663,13671,14361
18,Maryland,436028,9981,9777,9351
19,Nevada,310235,3124,3200,3558
20,Tennessee,830484,8264,8497,9083
21,Hawaii,32758,670,620,535
22,Indiana,708067,10965,13321,14996
23,Kentucky,437312,4543,5182,5657
24,Minnesota,556381,16870,17954,18820
25,Oklahoma,444863,2472,2669,3085
26,Pennsylvania,1107673,34784,36663,36422
27,South Carolina,569279,6625,6964,7441
28,District of Columbia,46662,782,750,662
29,Kansas,307407,1666,1887,2008
30,Missouri,583941,2477,2234,1868
31,Vermont,22016,792,659,587
32,Virginia,646133,10621,10769,10776
33,Connecticut,329062,6475,5325,4320
34,Iowa,360054,3108,2907,2684
35,Louisiana,451955,3483,3911,4611
36,Ohio,1053175,15151,15525,15884
37,Michigan,873700,62541,64944,64543
38,South Dakota,121056,1465,1505,1464
39,Arkansas,333452,1465,1805,2141
40,Delaware,101158,2576,2693,2648
41,Mississippi,309186,1787,2162,2491
42,New Mexico,194868,1367,1419,1421
43,North Dakota,105754,1127,1153,1176
44,Wyoming,57267,421,427,470
45,Alaska,65921,1188,1125,1071
46,Maine,57285,3867,4582,4529
47,Alabama,522401,2537,3028,3420
48,Idaho,184769,1533,1404,1373
49,Montana,107145,1116,1152,1182
50,Puerto Rico,123049,NaN,NaN,NaN
51,Virgin Islands,3028,NaN,NaN,NaN
52,Guam,7869,NaN,NaN,NaN
53,West Virginia,148887,2875,2971,3035
54,Northern Mariana Islands,162,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
