,State,466,472,479,486
0,Washington,404709,9438,9063,8339
1,Illinois,1339621,16396,14434,11863
2,California,3744937,9588,7587,5811
3,Arizona,863927,4874,4965,4856
4,Massachusetts,691172,6036,4093,2358
5,Wisconsin,661685,4380,4094,3640
6,Texas,2897110,18821,17198,15238
7,Nebraska,220127,1511,1182,940
8,Utah,398012,2128,1918,1666
9,Oregon,186344,6073,6205,6472
10,Florida,2242778,30957,26189,21196
11,New York,2054848,17277,12322,8297
12,Rhode Island,148186,1194,797,474
13,Georgia,1102789,7748,6994,6155
14,New Hampshire,95377,1251,938,706
15,North Carolina,969752,11032,10075,9498
16,New Jersey,1000010,7747,4836,2873
17,Colorado,513765,10972,10423,9420
18,Maryland,448989,4942,3734,2638
19,Nevada,315438,2224,2036,1864
20,Tennessee,847430,6337,5294,4746
21,Hawaii,34082,608,572,476
22,Indiana,722646,6866,6896,6377
23,Kentucky,445139,3567,3726,3696
24,Minnesota,579235,9722,8355,6815
25,Oklahoma,448305,1312,1199,1075
26,Pennsylvania,1157285,19009,14603,10331
27,South Carolina,580273,4487,4138,3655
28,District of Columbia,47800,355,227,146
29,Kansas,310600,1442,1484,1523
30,Missouri,593474,4887,5495,6106
31,Vermont,23126,411,334,228
32,Virginia,661314,6098,5302,4413
33,Connecticut,339233,3029,1958,1212
34,Iowa,365524,2177,1935,1693
35,Louisiana,458581,2926,2819,2833
36,Ohio,1075004,8809,7608,6113
37,Michigan,940175,25846,19869,14797
38,South Dakota,122660,585,421,305
39,Arkansas,336105,1237,1317,1330
40,Delaware,104909,1392,1068,769
41,Mississippi,311900,1403,1509,1721
42,New Mexico,197733,1128,1011,871
43,North Dakota,107708,944,994,1039
44,Wyoming,58142,435,460,504
45,Alaska,68148,1060,1145,1402
46,Maine,61847,1768,1370,980
47,Alabama,528597,2962,2873,3002
48,Idaho,187656,1191,1048,950
49,Montana,109030,888,870,805
50,Puerto Rico,133047,NaN,NaN,NaN
51,Virgin Islands,3138,NaN,NaN,NaN
52,Guam,7981,NaN,NaN,NaN
53,West Virginia,153918,2463,2568,2682
54,Northern Mariana Islands,168,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
