,State,347,353,360,367
0,Washington,255396,12583,11796,11970
1,Illinois,979821,37398,36090,31376
2,California,2426930,303895,319569,332409
3,Arizona,556384,50753,55089,55457
4,Massachusetts,387662,28111,26130,23349
5,Wisconsin,526245,15148,14114,12277
6,Texas,1810320,104746,115201,117553
7,Nebraska,169000,6112,6031,5429
8,Utah,283473,16680,20517,24546
9,Oregon,117745,8004,8683,8720
10,Florida,1365436,81297,85807,86863
11,New York,1023897,95198,105191,108171
12,Rhode Island,87949,3189,2899,2768
13,Georgia,690900,62011,71455,75810
14,New Hampshire,46450,5395,5768,5999
15,North Carolina,564924,45116,50934,52655
16,New Jersey,492042,30011,29878,27570
17,Colorado,341250,15359,14595,12920
18,Maryland,285319,18498,19515,19349
19,Nevada,231614,12856,12815,12143
20,Tennessee,608297,45803,46115,44542
21,Hawaii,22303,995,1155,1229
22,Indiana,526071,31638,31368,28357
23,Kentucky,276825,17415,18637,17946
24,Minnesota,420544,9878,8773,7381
25,Oklahoma,304072,20163,20382,19812
26,Pennsylvania,664913,54761,54362,51711
27,South Carolina,321669,23035,24357,25727
28,District of Columbia,29764,1719,1782,1808
29,Kansas,230314,14780,16289,15799
30,Missouri,412838,19026,19748,18459
31,Vermont,7793,869,1043,1164
32,Virginia,363765,31597,35117,37438
33,Connecticut,190120,11466,12382,11363
34,Iowa,284715,8147,7913,7052
35,Louisiana,321058,17439,18440,18964
36,Ohio,721481,51404,52066,49457
37,Michigan,538121,21435,21471,19232
38,South Dakota,100532,2414,2218,1889
39,Arkansas,233475,16795,18203,17986
40,Delaware,59484,4909,5076,5132
41,Mississippi,222061,14986,16018,15781
42,New Mexico,146394,7949,7642,6831
43,North Dakota,93041,1264,1104,874
44,Wyoming,44875,1472,1327,1243
45,Alaska,48098,2184,2352,2179
46,Maine,25592,4344,5280,6095
47,Alabama,371934,26518,28570,28712
48,Idaho,142507,6150,6042,5632
49,Montana,82381,2454,2251,2057
50,Puerto Rico,78169,NaN,NaN,NaN
51,Virgin Islands,2042,NaN,NaN,NaN
52,Guam,7326,NaN,NaN,NaN
53,West Virginia,91058,10637,11769,12127
54,Northern Mariana Islands,122,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
