,State,263,269,276,283
0,Washington,93035,4437,5224,6453
1,Illinois,322178,18777,22321,25467
2,California,855190,23589,25357,27981
3,Arizona,225575,5294,6533,7753
4,Massachusetts,138903,4789,5101,5566
5,Wisconsin,150236,20733,23266,25994
6,Texas,818426,32922,34219,37207
7,Nebraska,52382,5521,7005,8355
8,Utah,85844,9949,12141,14786
9,Oregon,37255,2901,3632,4520
10,Florida,734491,14579,14092,14546
11,New York,474286,10183,10927,11599
12,Rhode Island,26294,1138,1233,1321
13,Georgia,331409,9005,9897,10651
14,New Hampshire,9143,713,920,1170
15,North Carolina,231471,15640,20082,25057
16,New Jersey,213628,5404,5774,5887
17,Colorado,78437,6255,7911,9661
18,Maryland,131357,4483,5012,5647
19,Nevada,85779,4700,5897,7214
20,Tennessee,214717,13563,16674,19985
21,Hawaii,13472,647,608,538
22,Indiana,134981,11286,13922,16541
23,Kentucky,80292,9014,10799,12789
24,Minnesota,112268,9512,11169,13027
25,Oklahoma,99387,9142,10698,12035
26,Pennsylvania,176781,10034,12213,14345
27,South Carolina,157406,6243,6485,6808
28,District of Columbia,15984,474,588,673
29,Kansas,65303,4656,5095,5441
30,Missouri,145938,15193,19404,22951
31,Vermont,1868,101,137,190
32,Virginia,158716,7764,9353,10949
33,Connecticut,60038,2165,2375,2746
34,Iowa,99943,7705,8590,9000
35,Louisiana,172059,3295,3193,3351
36,Ohio,168749,11368,13869,16724
37,Michigan,149453,9960,12111,14110
38,South Dakota,28564,4753,5749,6347
39,Arkansas,92833,6597,7399,8053
40,Delaware,22130,1402,1459,1707
41,Mississippi,104932,4989,5849,6471
42,New Mexico,32983,3029,4035,5008
43,North Dakota,27264,3971,4471,4700
44,Wyoming,7611,1372,1693,2048
45,Alaska,10697,1559,2055,2674
46,Maine,5720,237,256,293
47,Alabama,165342,6815,6435,6079
48,Idaho,48066,5113,6248,7455
49,Montana,18702,4723,6194,7423
50,Puerto Rico,53671,NaN,NaN,NaN
51,Virgin Islands,1325,NaN,NaN,NaN
52,Guam,2989,NaN,NaN,NaN
53,West Virginia,18132,1682,2010,2362
54,Northern Mariana Islands,77,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
