,State,417,423,430,437
0,Washington,349425,4456,4280,3907
1,Illinois,1209245,10589,10292,10051
2,California,3623063,20024,16116,13440
3,Arizona,832743,7025,6181,5954
4,Massachusetts,602308,9817,9702,9226
5,Wisconsin,625359,3555,3380,3166
6,Texas,2727462,28614,23182,18569
7,Nebraska,204638,1838,1783,1757
8,Utah,378379,3005,2738,2404
9,Oregon,159617,2031,2161,2089
10,Florida,1976808,29525,26637,23694
11,New York,1741363,47096,45496,42449
12,Rhode Island,130502,2086,1880,1694
13,Georgia,1033786,9556,6977,5327
14,New Hampshire,78615,1481,1513,1481
15,North Carolina,882715,8919,7255,5846
16,New Jersey,837861,24747,25803,25603
17,Colorado,443968,7359,7245,7176
18,Maryland,393441,6050,6502,6641
19,Nevada,299287,3294,3821,3931
20,Tennessee,789652,6982,6106,5503
21,Hawaii,28554,477,555,588
22,Indiana,672554,5259,5330,5402
23,Kentucky,416215,4609,3882,3071
24,Minnesota,497392,7378,8220,8377
25,Oklahoma,432483,3359,2966,2704
26,Pennsylvania,968259,17210,17430,17305
27,South Carolina,533421,6383,5225,4014
28,District of Columbia,42511,1176,1316,1377
29,Kansas,299995,1444,1193,989
30,Missouri,571005,4269,5069,5029
31,Vermont,16890,796,720,678
32,Virginia,594735,7671,6763,5636
33,Connecticut,290577,4143,3626,3139
34,Iowa,342886,2959,2793,2533
35,Louisiana,437393,2544,2036,1713
36,Ohio,989191,9571,9078,8412
37,Michigan,670088,15682,18247,19414
38,South Dakota,114623,1141,1147,1087
39,Arkansas,326943,2023,1504,1092
40,Delaware,90381,1226,1067,897
41,Mississippi,300780,3218,3432,3277
42,New Mexico,188311,1210,995,815
43,North Dakota,100976,615,641,601
44,Wyoming,55163,340,314,294
45,Alaska,60207,928,917,923
46,Maine,47032,1305,1409,1479
47,Alabama,503673,4135,3399,2969
48,Idaho,175236,2177,2393,2398
49,Montana,101760,824,770,665
50,Puerto Rico,102995,NaN,NaN,NaN
51,Virgin Islands,2767,NaN,NaN,NaN
52,Guam,7768,NaN,NaN,NaN
53,West Virginia,135468,1819,1903,1861
54,Northern Mariana Islands,154,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
