,State,242,248,255,262
0,Washington,82548,2850,3048,3253
1,Illinois,276443,12764,12766,12064
2,California,786168,21685,20718,19186
3,Arizona,214021,4776,6146,7301
4,Massachusetts,127540,1094,793,504
5,Wisconsin,101227,12234,15383,19362
6,Texas,713007,30001,32869,36821
7,Nebraska,41083,3289,3961,4746
8,Utah,63772,6749,9392,12086
9,Oregon,30801,1162,1073,1044
10,Florida,683754,19864,21952,24161
11,New York,449900,5256,5416,5460
12,Rhode Island,23620,555,432,337
13,Georgia,306155,12194,13115,13654
14,New Hampshire,7947,356,431,530
15,North Carolina,199085,8329,8479,8613
16,New Jersey,199762,3096,3358,3578
17,Colorado,64837,3798,5068,6326
18,Maryland,120156,4580,5130,5784
19,Nevada,75804,1887,1886,1854
20,Tennessee,183514,10793,11608,12956
21,Hawaii,11403,545,368,244
22,Indiana,111505,6502,6669,6909
23,Kentucky,61542,5196,5831,6401
24,Minnesota,90017,4936,5731,6225
25,Oklahoma,76807,8277,9989,11698
26,Pennsylvania,154867,6177,6601,7234
27,South Carolina,137708,8008,8854,10402
28,District of Columbia,14955,378,430,480
29,Kansas,52700,3871,4159,4186
30,Missouri,114170,11729,12936,14393
31,Vermont,1715,23,9,7
32,Virginia,140395,7417,7597,7880
33,Connecticut,55527,1334,1417,1570
34,Iowa,80410,6090,7094,7767
35,Louisiana,161219,3774,3533,3621
36,Ohio,144309,7170,7201,7374
37,Michigan,128087,5889,5924,6313
38,South Dakota,18696,2246,2630,2939
39,Arkansas,75723,7353,8845,10705
40,Delaware,19566,857,945,1129
41,Mississippi,93364,3407,3596,3560
42,New Mexico,27579,879,1035,1194
43,North Dakota,17958,2871,3454,4078
44,Wyoming,4872,592,788,999
45,Alaska,6822,570,604,627
46,Maine,5077,230,261,302
47,Alabama,144962,28964,24026,28310
48,Idaho,37491,2820,2918,3611
49,Montana,10299,1423,1822,2155
50,Puerto Rico,41838,NaN,NaN,NaN
51,Virgin Islands,1269,NaN,NaN,NaN
52,Guam,2074,NaN,NaN,NaN
53,West Virginia,14062,1726,2022,2412
54,Northern Mariana Islands,68,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
