,State,270,276,283,290
0,Washington,98201,5102,6456,7763
1,Illinois,347631,27459,33394,38687
2,California,875692,22025,22174,23354
3,Arizona,231149,6746,8179,9817
4,Massachusetts,143660,4759,5006,5216
5,Wisconsin,166186,20964,22097,23976
6,Texas,854006,35534,41105,46555
7,Nebraska,58068,6919,8608,10300
8,Utah,94394,10028,11156,12542
9,Oregon,39532,2990,3475,4186
10,Florida,755020,24480,30686,37142
11,New York,484281,10519,11087,11537
12,Rhode Island,27691,1640,1924,2210
13,Georgia,340558,9853,11157,12529
14,New Hampshire,9625,754,911,1124
15,North Carolina,246028,17945,21896,26929
16,New Jersey,219647,5861,5937,5862
17,Colorado,85279,8414,10571,12940
18,Maryland,135657,4840,5458,6146
19,Nevada,90261,5462,6865,8445
20,Tennessee,228744,15956,18304,21874
21,Hawaii,14031,575,519,460
22,Indiana,147582,15087,18458,21769
23,Kentucky,87607,8667,10465,12370
24,Minnesota,122812,12224,14873,17726
25,Oklahoma,107299,9580,10592,11984
26,Pennsylvania,186754,12054,14271,16858
27,South Carolina,163990,7328,8330,9309
28,District of Columbia,16370,543,616,717
29,Kansas,70268,5816,6710,7786
30,Missouri,158955,16583,20025,24014
31,Vermont,1937,95,112,128
32,Virginia,166138,8890,10409,12558
33,Connecticut,62830,2851,3289,3717
34,Iowa,107334,9257,10571,11964
35,Louisiana,175781,3563,3642,3830
36,Ohio,181787,15504,19645,24036
37,Michigan,161105,13891,17508,20534
38,South Dakota,33269,5905,6823,7594
39,Arkansas,99066,7118,7757,8363
40,Delaware,23093,1006,1052,1074
41,Mississippi,110006,6263,7404,8282
42,New Mexico,36788,4567,5988,7380
43,North Dakota,31978,5529,6514,7286
44,Wyoming,9025,1702,2016,2329
45,Alaska,12038,1699,2045,2554
46,Maine,5937,238,252,267
47,Alabama,172626,7962,9074,10198
48,Idaho,53092,6105,7555,8863
49,Montana,22821,5830,6870,8068
50,Puerto Rico,57293,NaN,NaN,NaN
51,Virgin Islands,1335,NaN,NaN,NaN
52,Guam,3538,NaN,NaN,NaN
53,West Virginia,20081,2271,2808,3391
54,Northern Mariana Islands,86,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
