,State,431,437,444,451
0,Washington,361115,7406,9351,10964
1,Illinois,1237732,17607,22266,26437
2,California,3660713,16110,15256,14381
3,Arizona,839888,2844,2677,2384
4,Massachusetts,629531,16386,19974,22835
5,Wisconsin,634133,5204,6440,7312
6,Texas,2782735,22071,21510,20490
7,Nebraska,208424,2211,2638,2972
8,Utah,384562,2645,2428,2130
9,Oregon,163952,2639,3346,4065
10,Florida,2044005,34357,37537,39928
11,New York,1850732,39569,41713,41515
12,Rhode Island,135775,2524,2541,2638
13,Georgia,1055256,10087,9631,9187
14,New Hampshire,83027,2830,3648,4421
15,North Carolina,905528,10687,10356,10841
16,New Jersey,896652,31959,34638,36975
17,Colorado,458554,8441,9192,9697
18,Maryland,408044,8795,10923,12969
19,Nevada,303061,1740,1799,1757
20,Tennessee,806792,8038,7623,7705
21,Hawaii,30479,866,1144,1447
22,Indiana,684020,6378,7574,8946
23,Kentucky,425024,3284,2744,2475
24,Minnesota,515058,11470,14447,17351
25,Oklahoma,436971,1812,1602,1426
26,Pennsylvania,1013731,32060,41479,47272
27,South Carolina,549199,7852,8524,9303
28,District of Columbia,44175,853,942,979
29,Kansas,302988,1293,1266,1219
30,Missouri,580080,5596,6587,7310
31,Vermont,18820,1196,1440,1609
32,Virginia,615366,11357,12828,14573
33,Connecticut,305210,9074,11454,13742
34,Iowa,349714,4054,4902,5511
35,Louisiana,443069,2864,2849,2923
36,Ohio,1011622,12386,14420,16185
37,Michigan,723700,43070,56034,65796
38,South Dakota,117244,1611,1888,2128
39,Arkansas,329929,1135,943,787
40,Delaware,94062,1889,2040,2188
41,Mississippi,304616,1549,1411,1346
42,New Mexico,191048,1214,1179,1143
43,North Dakota,102583,1125,1425,1690
44,Wyoming,56046,477,552,650
45,Alaska,62264,968,1011,1085
46,Maine,49850,1527,1684,1842
47,Alabama,514391,3251,2453,1977
48,Idaho,179428,2172,2248,2353
49,Montana,104128,1274,1343,1426
50,Puerto Rico,106488,NaN,NaN,NaN
51,Virgin Islands,2907,NaN,NaN,NaN
52,Guam,7800,NaN,NaN,NaN
53,West Virginia,140613,3485,4333,4990
54,Northern Mariana Islands,159,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
