,State,487,493,500,507
0,Washington,NaN,5000,3666,2748
1,Illinois,NaN,7330,5631,4039
2,California,NaN,6797,5622,4479
3,Arizona,NaN,3227,2873,2428
4,Massachusetts,NaN,1954,1152,597
5,Wisconsin,NaN,2397,1993,1624
6,Texas,NaN,10020,8107,6601
7,Nebraska,NaN,NaN,NaN,NaN
8,Utah,NaN,1654,1441,1219
9,Oregon,NaN,2874,2275,1825
10,Florida,NaN,14625,11385,8334
11,New York,NaN,6977,4856,3113
12,Rhode Island,NaN,421,289,141
13,Georgia,NaN,3759,3100,2537
14,New Hampshire,NaN,524,357,236
15,North Carolina,NaN,5313,4162,3399
16,New Jersey,NaN,1808,1404,905
17,Colorado,NaN,5166,3896,2903
18,Maryland,NaN,1639,1201,761
19,Nevada,NaN,1606,1326,1112
20,Tennessee,NaN,2377,1700,1289
21,Hawaii,NaN,426,327,244
22,Indiana,NaN,4294,3603,3014
23,Kentucky,NaN,3240,3224,3244
24,Minnesota,NaN,3534,2432,1633
25,Oklahoma,NaN,729,599,492
26,Pennsylvania,NaN,7109,5005,3144
27,South Carolina,NaN,2576,1975,1767
28,District of Columbia,NaN,165,96,59
29,Kansas,NaN,1035,1003,936
30,Missouri,NaN,2827,2832,2690
31,Vermont,NaN,192,125,83
32,Virginia,NaN,2116,1623,1191
33,Connecticut,NaN,822,456,249
34,Iowa,NaN,932,693,535
35,Louisiana,NaN,2789,2708,2755
36,Ohio,NaN,5172,4400,3563
37,Michigan,NaN,7074,4588,2732
38,South Dakota,NaN,186,119,95
39,Arkansas,NaN,1351,1468,1583
40,Delaware,NaN,992,965,828
41,Mississippi,NaN,1613,1780,2126
42,New Mexico,NaN,897,752,635
43,North Dakota,NaN,478,432,368
44,Wyoming,NaN,609,767,966
45,Alaska,NaN,380,339,335
46,Maine,NaN,1039,784,592
47,Alabama,NaN,5387,5615,7702
48,Idaho,NaN,979,925,900
49,Montana,NaN,520,440,409
50,Puerto Rico,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN
53,West Virginia,NaN,1584,1370,1312
54,Northern Mariana Islands,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN
