,State,235,241,248,255
0,Washington,79826,2621,2516,2352
1,Illinois,263459,13669,12801,12297
2,California,761728,20496,16876,13775
3,Arizona,208512,2949,2653,2508
4,Massachusetts,124826,1380,1132,912
5,Wisconsin,89185,9675,11898,14568
6,Texas,681885,24618,23144,23186
7,Nebraska,38188,2004,2517,2718
8,Utah,57875,3781,4421,5304
9,Oregon,29337,1272,1178,1055
10,Florida,663994,17784,16821,16613
11,New York,444365,5043,4988,4990
12,Rhode Island,22905,305,265,300
13,Georgia,294314,10999,10167,9496
14,New Hampshire,7696,314,394,489
15,North Carolina,189768,8549,8033,7832
16,New Jersey,196634,2474,2663,2686
17,Colorado,61293,2227,2216,2335
18,Maryland,116110,4288,4322,4448
19,Nevada,73537,1755,1304,992
20,Tennessee,171824,9854,10080,10759
21,Hawaii,10700,866,600,422
22,Indiana,105804,7001,7199,7705
23,Kentucky,56945,4423,4566,4564
24,Minnesota,84311,4188,3624,3326
25,Oklahoma,69354,6154,6742,7233
26,Pennsylvania,149184,4434,5039,5178
27,South Carolina,131864,9124,10333,12524
28,District of Columbia,14592,342,262,231
29,Kansas,48766,2739,2586,2304
30,Missouri,103997,11340,11994,12902
31,Vermont,1684,26,15,14
32,Virginia,133742,7306,7872,8220
33,Connecticut,54326,727,832,742
34,Iowa,74676,4772,4832,4753
35,Louisiana,157455,5519,5065,5244
36,Ohio,137405,7326,7627,8084
37,Michigan,123058,4827,5925,6248
38,South Dakota,16638,1814,1875,1916
39,Arkansas,70219,5731,7549,9144
40,Delaware,18849,874,1079,1329
41,Mississippi,89874,2740,2396,1926
42,New Mexico,26761,663,607,578
43,North Dakota,15577,2606,2901,3334
44,Wyoming,4346,265,380,434
45,Alaska,6268,564,628,675
46,Maine,4863,207,244,280
47,Alabama,138755,6499,6034,5674
48,Idaho,35279,1774,2429,2887
49,Montana,9021,790,723,630
50,Puerto Rico,37380,NaN,NaN,NaN
51,Virgin Islands,1220,NaN,NaN,NaN
52,Guam,1863,NaN,NaN,NaN
53,West Virginia,12705,1599,1931,2353
54,Northern Mariana Islands,60,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
