,State,445,451,458,465
0,Washington,376230,9342,10950,12428
1,Illinois,1279663,27122,33544,39330
2,California,3700471,20734,24051,25771
3,Arizona,849561,5585,6732,7347
4,Massachusetts,659569,14872,14485,13125
5,Wisconsin,645514,7162,8667,9642
6,Texas,2826977,21910,22255,21102
7,Nebraska,214207,3731,4117,4783
8,Utah,390104,2546,2452,2270
9,Oregon,170568,4490,5731,6751
10,Florida,2124233,44569,50144,54655
11,New York,1956594,53178,50910,47221
12,Rhode Island,141097,2619,2619,2606
13,Georgia,1073792,8634,8594,8186
14,New Hampshire,88854,3399,3541,3363
15,North Carolina,929406,11829,12991,14442
16,New Jersey,953490,24883,21009,16632
17,Colorado,478678,11842,13470,14975
18,Maryland,426730,10492,11415,11942
19,Nevada,308024,3592,4682,5360
20,Tennessee,822085,7013,6886,6647
21,Hawaii,32067,924,982,1104
22,Indiana,698692,8875,10783,12564
23,Kentucky,433085,4020,4102,4188
24,Minnesota,542053,17650,21526,24716
25,Oklahoma,442805,3750,4951,5835
26,Pennsylvania,1073924,32618,34750,36516
27,South Carolina,562691,6416,6529,6403
28,District of Columbia,45830,792,734,650
29,Kansas,305773,1326,1378,1424
30,Missouri,588626,4886,4876,4562
31,Vermont,21202,1117,991,906
32,Virginia,635552,10530,11182,11629
33,Connecticut,321586,7366,6702,5936
34,Iowa,357019,3902,4174,4309
35,Louisiana,448838,2923,3206,3436
36,Ohio,1039455,15308,17229,18935
37,Michigan,820404,68819,80759,88226
38,South Dakota,119705,1420,1555,1521
39,Arkansas,332153,1063,1095,1133
40,Delaware,98570,2416,2512,2586
41,Mississippi,307449,1338,1337,1339
42,New Mexico,193368,1105,1027,973
43,North Dakota,104745,1327,1487,1575
44,Wyoming,56873,405,418,426
45,Alaska,64782,1577,1825,2217
46,Maine,53960,2764,3344,3623
47,Alabama,518899,1865,1733,1557
48,Idaho,183153,1844,1842,1909
49,Montana,106183,1262,1503,1627
50,Puerto Rico,115299,NaN,NaN,NaN
51,Virgin Islands,2971,NaN,NaN,NaN
52,Guam,7837,NaN,NaN,NaN
53,West Virginia,146169,2871,2917,2910
54,Northern Mariana Islands,160,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
