,State,438,444,451,458
0,Washington,368403,9228,11516,13774
1,Illinois,1256533,22809,28386,33251
2,California,3676742,14688,13396,12682
3,Arizona,844302,4484,5315,5952
4,Massachusetts,643232,17622,19595,20831
5,Wisconsin,639227,5903,6867,7826
6,Texas,2802225,20912,19508,19261
7,Nebraska,211812,4257,5743,6726
8,Utah,387341,2562,2377,2123
9,Oregon,166882,3480,4431,5393
10,Florida,2081826,40604,45513,50627
11,New York,1905737,60411,68415,69493
12,Rhode Island,138255,2310,2221,2126
13,Georgia,1064554,8697,8124,7540
14,New Hampshire,85846,3234,3873,4081
15,North Carolina,916159,10014,9460,10190
16,New Jersey,927195,32085,32339,31598
17,Colorado,468121,10304,11966,13426
18,Maryland,417329,10545,12543,14413
19,Nevada,305176,2216,2525,2891
20,Tennessee,813614,5965,5006,4521
21,Hawaii,31337,1048,1390,1695
22,Indiana,690910,7894,9635,11611
23,Kentucky,429106,4402,4737,4811
24,Minnesota,526267,15507,19581,22619
25,Oklahoma,439149,1891,1764,1706
26,Pennsylvania,1043524,36367,43015,49343
27,South Carolina,555274,7386,7644,8174
28,District of Columbia,45037,937,952,964
29,Kansas,304429,1425,1481,1533
30,Missouri,584228,5136,5049,4802
31,Vermont,20149,1541,1813,2014
32,Virginia,625148,10496,11014,11658
33,Connecticut,313956,10392,11985,14011
34,Iowa,353362,4359,4816,5174
35,Louisiana,445469,2244,1974,1927
36,Ohio,1024011,NaN,NaN,NaN
37,Michigan,768892,61334,76252,85194
38,South Dakota,118361,1481,1535,1606
39,Arkansas,331054,999,902,788
40,Delaware,96376,2612,3197,3686
41,Mississippi,306088,1429,1400,1344
42,New Mexico,192152,1182,1145,1141
43,North Dakota,103638,1430,1715,1985
44,Wyoming,56447,432,418,432
45,Alaska,63501,1411,1774,2164
46,Maine,51765,2029,2475,2778
47,Alabama,516809,2124,1720,1350
48,Idaho,181181,1770,1667,1609
49,Montana,105142,1011,1119,1164
50,Puerto Rico,109833,NaN,NaN,NaN
51,Virgin Islands,2907,NaN,NaN,NaN
52,Guam,7816,NaN,NaN,NaN
53,West Virginia,143456,3485,3979,4450
54,Northern Mariana Islands,159,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
