,State,459,465,472,479
0,Washington,NaN,11597,13225,14867
1,Illinois,NaN,19482,17549,15110
2,California,NaN,12765,10109,8136
3,Arizona,NaN,4784,5161,5276
4,Massachusetts,NaN,8551,6175,3980
5,Wisconsin,NaN,5106,4689,4296
6,Texas,NaN,22809,23516,24215
7,Nebraska,NaN,2338,2105,1651
8,Utah,NaN,2461,2369,2235
9,Oregon,NaN,6891,8744,10764
10,Florida,NaN,42141,40736,38722
11,New York,NaN,26256,18560,13008
12,Rhode Island,NaN,2050,1550,1189
13,Georgia,NaN,10457,11150,11935
14,New Hampshire,NaN,1940,1591,1327
15,North Carolina,NaN,13927,14456,16011
16,New Jersey,NaN,16888,12624,9011
17,Colorado,NaN,12217,12678,12979
18,Maryland,NaN,7008,5646,4248
19,Nevada,NaN,2376,2221,2030
20,Tennessee,NaN,11787,14167,18025
21,Hawaii,NaN,545,438,320
22,Indiana,NaN,8730,8632,9207
23,Kentucky,NaN,3900,3902,4018
24,Minnesota,NaN,12297,10936,9624
25,Oklahoma,NaN,1490,1326,1252
26,Pennsylvania,NaN,26602,22754,17603
27,South Carolina,NaN,5865,5792,6118
28,District of Columbia,NaN,573,431,306
29,Kansas,NaN,1570,1627,1871
30,Missouri,NaN,NaN,NaN,NaN
31,Vermont,NaN,479,329,229
32,Virginia,NaN,8204,7377,6723
33,Connecticut,NaN,4327,3021,1965
34,Iowa,NaN,2773,2699,2617
35,Louisiana,NaN,4053,4917,6209
36,Ohio,NaN,10875,9420,8023
37,Michigan,NaN,38465,30353,23335
38,South Dakota,NaN,948,782,609
39,Arkansas,NaN,1488,1756,2130
40,Delaware,NaN,2150,1852,1597
41,Mississippi,NaN,1557,1633,1905
42,New Mexico,NaN,1342,1328,1340
43,North Dakota,NaN,1045,1106,1246
44,Wyoming,NaN,410,423,424
45,Alaska,NaN,1103,1146,1264
46,Maine,NaN,3011,2675,2338
47,Alabama,NaN,5388,7184,9498
48,Idaho,NaN,1212,1069,965
49,Montana,NaN,996,1038,1065
50,Puerto Rico,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN
53,West Virginia,NaN,2612,2608,2595
54,Northern Mariana Islands,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN
