,State,508,514,521,528
0,Washington,NaN,3281,2921,2500
1,Illinois,NaN,1608,1000,617
2,California,NaN,5074,4576,4217
3,Arizona,NaN,2298,2091,1812
4,Massachusetts,NaN,445,255,121
5,Wisconsin,NaN,594,417,287
6,Texas,NaN,7051,6348,6119
7,Nebraska,NaN,142,99,75
8,Utah,NaN,1710,1790,1847
9,Oregon,NaN,1388,1137,853
10,Florida,NaN,9169,9581,7942
11,New York,NaN,1848,1181,700
12,Rhode Island,NaN,96,54,31
13,Georgia,NaN,2053,1899,1756
14,New Hampshire,NaN,116,116,124
15,North Carolina,NaN,2408,2078,2003
16,New Jersey,NaN,907,638,474
17,Colorado,NaN,3092,2684,2148
18,Maryland,NaN,408,277,169
19,Nevada,NaN,1498,1362,1309
20,Tennessee,NaN,1299,1643,2024
21,Hawaii,NaN,393,482,627
22,Indiana,NaN,2320,2072,1923
23,Kentucky,NaN,2048,2314,2704
24,Minnesota,NaN,693,442,274
25,Oklahoma,NaN,739,765,837
26,Pennsylvania,NaN,1724,1121,693
27,South Carolina,NaN,578,399,282
28,District of Columbia,NaN,67,41,29
29,Kansas,NaN,809,900,1032
30,Missouri,NaN,3807,5090,6700
31,Vermont,NaN,27,17,13
32,Virginia,NaN,833,691,633
33,Connecticut,NaN,255,179,145
34,Iowa,NaN,425,389,330
35,Louisiana,NaN,2235,2189,2235
36,Ohio,NaN,1766,1409,1087
37,Michigan,NaN,1305,808,477
38,South Dakota,NaN,44,35,21
39,Arkansas,NaN,1563,1925,2216
40,Delaware,NaN,158,104,70
41,Mississippi,NaN,773,791,802
42,New Mexico,NaN,357,233,106
43,North Dakota,NaN,208,219,203
44,Wyoming,NaN,510,523,548
45,Alaska,NaN,165,129,111
46,Maine,NaN,262,177,116
47,Alabama,NaN,1968,1883,2073
48,Idaho,NaN,650,560,529
49,Montana,NaN,460,433,391
50,Puerto Rico,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN
53,West Virginia,NaN,552,403,300
54,Northern Mariana Islands,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN
