,State,480,486,493,500
0,Washington,NaN,7633,6938,5789
1,Illinois,NaN,9385,6993,5035
2,California,NaN,8488,6893,5601
3,Arizona,NaN,3605,3068,2579
4,Massachusetts,NaN,2767,1605,734
5,Wisconsin,NaN,3194,2763,2343
6,Texas,NaN,11583,9654,7827
7,Nebraska,NaN,851,657,560
8,Utah,NaN,1871,1718,1530
9,Oregon,NaN,4048,3497,2919
10,Florida,NaN,17603,13398,9462
11,New York,NaN,8991,6267,4215
12,Rhode Island,NaN,479,246,124
13,Georgia,NaN,4826,3881,3041
14,New Hampshire,NaN,790,616,480
15,North Carolina,NaN,7185,5903,4989
16,New Jersey,NaN,2180,1172,626
17,Colorado,NaN,7232,6078,4806
18,Maryland,NaN,2118,1386,855
19,Nevada,NaN,2089,1851,1637
20,Tennessee,NaN,3340,2564,1968
21,Hawaii,NaN,492,369,252
22,Indiana,NaN,5304,4501,3715
23,Kentucky,NaN,3475,3529,3498
24,Minnesota,NaN,5512,4065,2964
25,Oklahoma,NaN,890,717,614
26,Pennsylvania,NaN,9181,6223,3879
27,South Carolina,NaN,3337,3154,2682
28,District of Columbia,NaN,223,167,94
29,Kansas,NaN,1006,911,813
30,Missouri,NaN,2579,2146,1717
31,Vermont,NaN,284,231,163
32,Virginia,NaN,2959,2160,1562
33,Connecticut,NaN,1379,794,428
34,Iowa,NaN,1397,1077,831
35,Louisiana,NaN,2908,2766,2765
36,Ohio,NaN,5955,4766,3695
37,Michigan,NaN,11283,7554,4817
38,South Dakota,NaN,298,217,181
39,Arkansas,NaN,1261,1262,1264
40,Delaware,NaN,645,423,261
41,Mississippi,NaN,1372,1427,1485
42,New Mexico,NaN,1015,793,630
43,North Dakota,NaN,575,507,433
44,Wyoming,NaN,471,494,539
45,Alaska,NaN,498,433,399
46,Maine,NaN,1371,1097,871
47,Alabama,NaN,6118,9009,10393
48,Idaho,NaN,890,789,705
49,Montana,NaN,728,686,641
50,Puerto Rico,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN
53,West Virginia,NaN,2162,2128,2085
54,Northern Mariana Islands,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN
