,State,473,479,486,493
0,Washington,NaN,8596,7866,7005
1,Illinois,NaN,13239,10616,8374
2,California,NaN,9683,8409,7086
3,Arizona,NaN,4396,4063,3678
4,Massachusetts,NaN,4092,2462,1295
5,Wisconsin,NaN,4106,3705,3320
6,Texas,NaN,14937,12163,10271
7,Nebraska,NaN,1059,865,654
8,Utah,NaN,2023,1838,1638
9,Oregon,NaN,5124,4803,4436
10,Florida,NaN,23002,17955,13625
11,New York,NaN,12349,8533,5758
12,Rhode Island,NaN,892,554,328
13,Georgia,NaN,6696,5696,4842
14,New Hampshire,NaN,970,744,564
15,North Carolina,NaN,9142,7768,6876
16,New Jersey,NaN,4867,3137,2041
17,Colorado,NaN,8966,7739,6596
18,Maryland,NaN,3345,2330,1528
19,Nevada,NaN,2113,1890,1677
20,Tennessee,NaN,4393,3563,2876
21,Hawaii,NaN,616,526,394
22,Indiana,NaN,6995,6512,5977
23,Kentucky,NaN,3863,3939,4030
24,Minnesota,NaN,8011,6491,5144
25,Oklahoma,NaN,691,382,315
26,Pennsylvania,NaN,13707,9762,6592
27,South Carolina,NaN,3855,3238,2804
28,District of Columbia,NaN,280,185,116
29,Kansas,NaN,1363,1293,1303
30,Missouri,NaN,4090,3941,3914
31,Vermont,NaN,331,245,172
32,Virginia,NaN,4628,3648,2857
33,Connecticut,NaN,2113,1346,781
34,Iowa,NaN,1945,1668,1395
35,Louisiana,NaN,2961,2978,3006
36,Ohio,NaN,7406,6055,4808
37,Michigan,NaN,17487,12855,8830
38,South Dakota,NaN,409,302,212
39,Arkansas,NaN,1404,1482,1549
40,Delaware,NaN,1003,698,476
41,Mississippi,NaN,1197,1126,1102
42,New Mexico,NaN,1238,1088,929
43,North Dakota,NaN,809,767,752
44,Wyoming,NaN,481,521,570
45,Alaska,NaN,693,591,538
46,Maine,NaN,1596,1284,978
47,Alabama,NaN,2376,2507,2600
48,Idaho,NaN,959,805,705
49,Montana,NaN,860,858,830
50,Puerto Rico,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN
53,West Virginia,NaN,2478,2468,2533
54,Northern Mariana Islands,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN
