,State,410,416,423,430
0,Washington,344532,4770,4340,4013
1,Illinois,1198257,11785,12331,12829
2,California,3599250,25299,21859,18702
3,Arizona,826454,7310,6830,5615
4,Massachusetts,591356,9248,8291,7334
5,Wisconsin,621654,4262,4107,4028
6,Texas,2695558,45524,42939,42588
7,Nebraska,203026,1836,1801,1681
8,Utah,374850,3054,2522,2034
9,Oregon,157285,1670,1308,1131
10,Florida,1944995,33683,31428,29260
11,New York,1694651,48096,46847,45189
12,Rhode Island,128121,2229,2107,2053
13,Georgia,1023487,16785,15252,14457
14,New Hampshire,76861,1350,1100,908
15,North Carolina,872176,11872,9628,7726
16,New Jersey,812609,23907,24974,25734
17,Colorado,436612,8712,9429,9992
18,Maryland,387319,5046,4993,4956
19,Nevada,296190,2362,2316,2286
20,Tennessee,783484,8850,8875,9034
21,Hawaii,28107,396,412,429
22,Indiana,667262,5053,4883,4517
23,Kentucky,410709,5662,4888,4156
24,Minnesota,490011,5456,5570,5730
25,Oklahoma,428997,4240,4037,3660
26,Pennsylvania,950773,16724,16707,16752
27,South Carolina,525865,7205,5025,3414
28,District of Columbia,41419,852,848,881
29,Kansas,298188,1573,1153,825
30,Missouri,498008,2497,2166,1888
31,Vermont,16083,831,891,883
32,Virginia,585700,8405,6979,5756
33,Connecticut,285330,4792,4026,3639
34,Iowa,339672,3191,3192,2992
35,Louisiana,433785,3719,2948,2661
36,Ohio,978471,10289,9315,8606
37,Michigan,656072,11750,13303,14267
38,South Dakota,113589,1111,1133,1083
39,Arkansas,324818,5224,4830,5307
40,Delaware,88354,1566,1388,1310
41,Mississippi,297581,3305,3137,3087
42,New Mexico,186922,1653,1414,1208
43,North Dakota,100391,586,581,604
44,Wyoming,54764,402,342,308
45,Alaska,59285,900,859,823
46,Maine,45794,1204,1317,1415
47,Alabama,499819,6277,6352,6121
48,Idaho,172931,1844,1845,1873
49,Montana,100914,729,525,409
50,Puerto Rico,101327,NaN,NaN,NaN
51,Virgin Islands,2714,NaN,NaN,NaN
52,Guam,7749,NaN,NaN,NaN
53,West Virginia,133445,1722,1615,1567
54,Northern Mariana Islands,145,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
