,State,501,507,514,521
0,Washington,NaN,4222,3164,2474
1,Illinois,NaN,2785,1744,1104
2,California,NaN,7010,5577,5067
3,Arizona,NaN,2750,2281,2109
4,Massachusetts,NaN,584,321,145
5,Wisconsin,NaN,819,543,382
6,Texas,NaN,7119,6436,5273
7,Nebraska,NaN,160,110,70
8,Utah,NaN,1221,1112,905
9,Oregon,NaN,1561,1183,884
10,Florida,NaN,7912,6520,4536
11,New York,NaN,2598,1552,867
12,Rhode Island,NaN,127,68,31
13,Georgia,NaN,2214,1802,1452
14,New Hampshire,NaN,143,77,44
15,North Carolina,NaN,2800,2180,1727
16,New Jersey,NaN,1065,836,586
17,Colorado,NaN,3197,2535,1922
18,Maryland,NaN,612,377,253
19,Nevada,NaN,1148,1052,837
20,Tennessee,NaN,1096,850,675
21,Hawaii,NaN,311,353,438
22,Indiana,NaN,2581,2366,2059
23,Kentucky,NaN,2066,2198,2288
24,Minnesota,NaN,935,550,300
25,Oklahoma,NaN,619,561,497
26,Pennsylvania,NaN,2513,1506,852
27,South Carolina,NaN,957,628,476
28,District of Columbia,NaN,101,76,53
29,Kansas,NaN,661,723,774
30,Missouri,NaN,3001,3720,4742
31,Vermont,NaN,26,10,6
32,Virginia,NaN,1210,958,808
33,Connecticut,NaN,313,180,95
34,Iowa,NaN,416,322,243
35,Louisiana,NaN,2280,2297,2340
36,Ohio,NaN,2383,1748,1315
37,Michigan,NaN,1926,1154,624
38,South Dakota,NaN,93,46,25
39,Arkansas,NaN,1112,1178,1215
40,Delaware,NaN,215,135,85
41,Mississippi,NaN,749,709,740
42,New Mexico,NaN,457,362,298
43,North Dakota,NaN,207,173,125
44,Wyoming,NaN,522,593,693
45,Alaska,NaN,225,229,248
46,Maine,NaN,373,261,184
47,Alabama,NaN,1986,2417,2714
48,Idaho,NaN,670,629,547
49,Montana,NaN,484,472,456
50,Puerto Rico,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN
53,West Virginia,NaN,884,724,651
54,Northern Mariana Islands,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN
