,State,515,521,528,535
0,Washington,447203,2698,2170,1733
1,Illinois,1388634,920,517,316
2,California,3808258,4271,3605,2978
3,Arizona,889727,2452,2319,2132
4,Massachusetts,709395,252,138,62
5,Wisconsin,676673,419,270,199
6,Texas,2985659,6367,6072,5569
7,Nebraska,223986,117,107,69
8,Utah,411610,1908,1978,2016
9,Oregon,206777,1382,1251,1075
10,Florida,2354416,22524,33543,36419
11,New York,2111845,1379,880,542
12,Rhode Island,152383,70,40,20
13,Georgia,1131048,1996,1899,1703
14,New Hampshire,99254,129,122,113
15,North Carolina,1010113,1927,1567,1441
16,New Jersey,1021182,1067,888,694
17,Colorado,553868,2497,1923,1527
18,Maryland,461739,317,218,133
19,Nevada,328875,1430,1362,1243
20,Tennessee,866027,1129,1139,1340
21,Hawaii,37353,310,280,276
22,Indiana,751242,1914,1772,1607
23,Kentucky,463337,1784,1747,1703
24,Minnesota,604509,498,335,214
25,Oklahoma,455535,1058,1185,1278
26,Pennsylvania,1214895,1207,772,481
27,South Carolina,595448,457,336,281
28,District of Columbia,49243,46,28,19
29,Kansas,317610,687,659,649
30,Missouri,617498,4986,6064,6815
31,Vermont,24360,21,17,7
32,Virginia,678649,728,694,653
33,Connecticut,348665,179,137,109
34,Iowa,373098,409,378,344
35,Louisiana,477453,1967,1836,1778
36,Ohio,1108902,1512,1273,1113
37,Michigan,998149,748,426,241
38,South Dakota,124393,31,21,17
39,Arkansas,345605,1834,2097,2335
40,Delaware,109548,130,96,64
41,Mississippi,319948,827,868,920
42,New Mexico,204698,328,222,141
43,North Dakota,110567,128,97,65
44,Wyoming,61490,398,381,382
45,Alaska,70875,192,220,238
46,Maine,68826,167,105,67
47,Alabama,548657,1225,1046,906
48,Idaho,194006,441,334,287
49,Montana,113167,362,312,267
50,Puerto Rico,139753,NaN,NaN,NaN
51,Virgin Islands,3752,NaN,NaN,NaN
52,Guam,8267,NaN,NaN,NaN
53,West Virginia,163382,338,210,158
54,Northern Mariana Islands,183,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
