,State,424,430,437,444
0,Washington,354782,4482,4197,3474
1,Illinois,1221775,9837,9134,7529
2,California,3641876,13789,10264,6993
3,Arizona,836253,3511,2711,2314
4,Massachusetts,614668,11398,11692,10850
5,Wisconsin,629407,3011,2601,2012
6,Texas,2754616,22033,17065,12856
7,Nebraska,206388,1437,1295,1052
8,Utah,381629,2514,2040,1537
9,Oregon,161531,1879,1756,1611
10,Florida,2008349,25336,21633,16886
11,New York,1782769,36354,29705,23577
12,Rhode Island,133039,1732,1358,994
13,Georgia,1045694,8564,7548,5772
14,New Hampshire,80543,2046,2197,2227
15,North Carolina,895263,9388,8255,6305
16,New Jersey,865886,27634,28972,27409
17,Colorado,450630,6016,5527,4487
18,Maryland,400023,6041,6032,5684
19,Nevada,301178,1803,1301,1001
20,Tennessee,798621,6719,5941,4966
21,Hawaii,29120,604,680,705
22,Indiana,677905,4156,3697,3042
23,Kentucky,420828,3931,3145,2361
24,Minnesota,505224,7944,8276,8108
25,Oklahoma,434491,2008,1365,1005
26,Pennsylvania,988656,17698,17196,15346
27,South Carolina,541582,6061,5067,3799
28,District of Columbia,43229,703,565,449
29,Kansas,301519,1106,867,599
30,Missouri,575253,3641,3633,3368
31,Vermont,17740,770,743,655
32,Virginia,604904,6959,5616,4424
33,Connecticut,296691,4342,3609,2788
34,Iowa,345785,2317,1939,1513
35,Louisiana,439737,2385,1843,1486
36,Ohio,999750,8343,7144,5586
37,Michigan,691070,19699,22326,22349
38,South Dakota,115867,938,894,725
39,Arkansas,328655,1477,1176,909
40,Delaware,92287,1351,1226,978
41,Mississippi,302837,2121,1648,1372
42,New Mexico,189731,955,750,527
43,North Dakota,101651,566,547,509
44,Wyoming,55581,326,292,253
45,Alaska,61086,723,608,525
46,Maine,48464,1363,1405,1356
47,Alabama,511460,5635,5162,4789
48,Idaho,177420,1959,1825,1620
49,Montana,103060,997,947,817
50,Puerto Rico,104516,NaN,NaN,NaN
51,Virgin Islands,2767,NaN,NaN,NaN
52,Guam,7780,NaN,NaN,NaN
53,West Virginia,137826,2035,2043,1884
54,Northern Mariana Islands,157,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
