,State,403,409,416,423
0,Washington,339773,5626,5441,4971
1,Illinois,1186613,10893,10279,9267
2,California,3566914,25808,17949,12099
3,Arizona,816782,6533,4527,3021
4,Massachusetts,581148,9847,8715,7210
5,Wisconsin,617367,4464,4199,3805
6,Texas,2653013,42043,43158,38724
7,Nebraska,200882,1550,1338,1076
8,Utah,371235,3882,3190,2539
9,Oregon,155597,2501,2423,2291
10,Florida,1909221,34734,30471,25977
11,New York,1643867,44318,39809,33437
12,Rhode Island,125622,1759,1439,1089
13,Georgia,1006521,18840,18148,16855
14,New Hampshire,75424,1947,1730,1565
15,North Carolina,858548,15407,12664,10102
16,New Jersey,789356,20864,20983,19726
17,Colorado,428303,7395,7736,7782
18,Maryland,382099,4552,4012,3278
19,Nevada,293754,2134,1868,1479
20,Tennessee,775004,8606,9180,9263
21,Hawaii,27759,342,353,336
22,Indiana,661673,5049,4324,3578
23,Kentucky,404622,6803,5879,4886
24,Minnesota,484594,5642,5854,6049
25,Oklahoma,424508,3912,3052,2184
26,Pennsylvania,933261,15625,14414,13001
27,South Carolina,516823,11819,8977,6912
28,District of Columbia,40598,879,960,985
29,Kansas,295997,2687,1954,1633
30,Missouri,495047,2991,2463,1983
31,Vermont,15198,700,646,594
32,Virginia,576050,9641,7544,5811
33,Connecticut,279946,4872,4191,3479
34,Iowa,363636,10545,7783,7680
35,Louisiana,430100,3885,3349,2778
36,Ohio,967422,11389,9768,8222
37,Michigan,645550,9094,10157,10509
38,South Dakota,112427,1119,1164,1159
39,Arkansas,322415,2795,2750,2314
40,Delaware,86799,1744,1695,1568
41,Mississippi,294795,2873,2785,2295
42,New Mexico,185132,2019,1822,1587
43,North Dakota,99809,648,625,663
44,Wyoming,54394,588,539,503
45,Alaska,58263,896,836,817
46,Maine,44635,981,990,937
47,Alabama,493252,5230,4770,4238
48,Idaho,171140,1852,1864,1811
49,Montana,99954,1112,979,832
50,Puerto Rico,100297,NaN,NaN,NaN
51,Virgin Islands,2646,NaN,NaN,NaN
52,Guam,7734,NaN,NaN,NaN
53,West Virginia,131855,1819,1770,1601
54,Northern Mariana Islands,143,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
