,State,809,815,822,829,836,843,850
0,Washington,NaN,6057,7428,8360,8837,9647,10956
1,Illinois,NaN,10093,12937,14924,16315,18201,20762
2,California,NaN,21137,26512,30471,33548,37888,44783
3,Arizona,NaN,7003,11395,14073,14770,15107,15941
4,Massachusetts,NaN,8692,12015,14265,15392,16530,18009
5,Wisconsin,NaN,3604,5145,6144,6716,7347,8402
6,Texas,NaN,21272,26388,30320,32745,35781,40409
7,Nebraska,NaN,1103,1416,1618,1768,1934,2225
8,Utah,NaN,578,653,704,769,874,1069
9,Oregon,NaN,1915,2557,3028,3320,3708,4347
10,Florida,NaN,9189,12728,15373,17148,19727,24204
11,New York,NaN,28824,42753,52061,56408,60149,64864
12,Rhode Island,NaN,1473,1609,1715,1831,2027,2329
13,Georgia,NaN,3731,4174,4616,4999,5643,6777
14,New Hampshire,NaN,1584,2065,2404,2557,2815,3122
15,North Carolina,NaN,5756,5322,5316,5492,5888,6752
16,New Jersey,NaN,10174,15018,18267,20100,22119,25153
17,Colorado,NaN,8241,10048,11185,11900,12725,14004
18,Maryland,NaN,2658,3686,4427,4880,5404,6214
19,Nevada,NaN,1261,1502,1656,1777,1901,2080
20,Tennessee,NaN,1905,2306,2618,2858,3175,3715
21,Hawaii,NaN,1212,1544,1802,1983,2188,2533
22,Indiana,NaN,1328,1416,1524,1646,1864,2182
23,Kentucky,NaN,4948,4837,4829,4870,4996,5260
24,Minnesota,NaN,3017,3380,3707,3911,4300,4944
25,Oklahoma,NaN,2271,2864,3298,3537,3887,4450
26,Pennsylvania,NaN,4941,6426,7533,8390,9423,11123
27,South Carolina,NaN,1806,3192,4082,4371,4497,4660
28,District of Columbia,NaN,674,802,903,1009,1149,1396
29,Kansas,NaN,796,1118,1338,1469,1604,1795
30,Missouri,NaN,3223,3373,3518,3715,4071,4666
31,Vermont,NaN,1049,1176,1264,1281,1334,1362
32,Virginia,NaN,6871,9509,11193,11938,12602,13667
33,Connecticut,NaN,3721,5290,6337,6854,7384,8142
34,Iowa,NaN,851,1131,1306,1410,1564,1804
35,Louisiana,NaN,726,803,894,972,1081,1306
36,Ohio,NaN,3905,5467,6627,7243,7945,8987
37,Michigan,NaN,4916,4978,5179,5512,6042,6919
38,South Dakota,NaN,143,153,168,180,200,226
39,Arkansas,NaN,1950,1669,1620,1688,1857,2158
40,Delaware,NaN,647,714,781,832,946,1132
41,Mississippi,NaN,1001,1316,1531,1633,1765,1930
42,New Mexico,NaN,903,927,969,1032,1140,1340
43,North Dakota,NaN,222,264,284,311,338,391
44,Wyoming,NaN,133,140,153,164,182,205
45,Alaska,NaN,1214,1084,1054,1072,1191,1321
46,Maine,NaN,1479,1665,1803,1888,1937,2111
47,Alabama,NaN,1429,1780,2034,2183,2405,2687
48,Idaho,NaN,607,494,459,471,498,576
49,Montana,NaN,238,235,237,246,271,298
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,586,509,506,535,593,680
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
