,State,606,612,619,626,633,640,647
0,Washington,NaN,22253,19721,17038,14579,12513,10652
1,Illinois,NaN,26348,24384,22706,21503,20509,19474
2,California,NaN,62389,56976,52793,50293,49263,48732
3,Arizona,NaN,17814,16204,14669,12997,11650,10493
4,Massachusetts,NaN,12362,12003,10847,9369,7933,6647
5,Wisconsin,NaN,16449,17732,17989,18063,17621,16472
6,Texas,NaN,108706,96222,85248,78064,73229,68550
7,Nebraska,NaN,5528,5136,4556,3962,3409,2941
8,Utah,NaN,7302,6619,5669,4692,3812,3104
9,Oregon,NaN,12835,11355,9990,8886,7937,7190
10,Florida,NaN,90081,65975,47646,35515,28131,23821
11,New York,NaN,35115,32591,28498,24116,20015,16364
12,Rhode Island,NaN,2091,1853,1520,1200,942,736
13,Georgia,NaN,39433,30166,23257,18311,14909,12617
14,New Hampshire,NaN,2997,2904,2641,2272,1898,1545
15,North Carolina,NaN,48419,44658,38382,31898,26408,21819
16,New Jersey,NaN,15064,13458,11240,9126,7369,5936
17,Colorado,NaN,13047,11718,9934,8303,6913,5810
18,Maryland,NaN,8370,8312,8078,7605,7172,6726
19,Nevada,NaN,8176,7832,7421,7034,6687,6390
20,Tennessee,NaN,47638,40105,31055,23523,18000,14177
21,Hawaii,NaN,3461,2611,2002,1513,1129,856
22,Indiana,NaN,26043,22414,18728,15506,12847,10789
23,Kentucky,NaN,27929,23488,18581,14655,11894,10042
24,Minnesota,NaN,14434,13837,12358,10742,9128,7821
25,Oklahoma,NaN,16171,13201,10360,8066,6397,5239
26,Pennsylvania,NaN,30498,28455,24528,20386,16697,13823
27,South Carolina,NaN,31396,26135,20361,15441,11750,9040
28,District of Columbia,NaN,1198,1052,755,482,283,154
29,Kansas,NaN,10168,8902,7520,6324,5342,4651
30,Missouri,NaN,14146,12816,11312,9914,8826,7850
31,Vermont,NaN,1277,1290,1201,1064,913,767
32,Virginia,NaN,24510,22596,20456,18751,17461,16472
33,Connecticut,NaN,5050,5654,5915,5911,5670,5263
34,Iowa,NaN,10531,10276,9522,8603,7580,6683
35,Louisiana,NaN,13670,11901,10417,9668,9515,9696
36,Ohio,NaN,48692,45943,41436,36309,31154,25956
37,Michigan,NaN,21291,22463,23143,23178,22767,21749
38,South Dakota,NaN,3195,2855,2476,2124,1832,1595
39,Arkansas,NaN,9901,7962,6289,5061,4219,3667
40,Delaware,NaN,3106,2771,2267,1849,1512,1263
41,Mississippi,NaN,11531,9247,7244,5781,4806,4135
42,New Mexico,NaN,4507,3944,3366,2821,2387,2033
43,North Dakota,NaN,3175,2957,2595,2262,1973,1723
44,Wyoming,NaN,3408,2948,2477,2062,1747,1503
45,Alaska,NaN,5042,4849,4206,3485,2839,2310
46,Maine,NaN,3117,3033,2745,2409,2026,1704
47,Alabama,NaN,22242,17747,14183,11653,9894,8660
48,Idaho,NaN,8751,8095,7055,5967,4843,3850
49,Montana,NaN,5510,5122,4465,3745,3126,2637
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,12996,11795,9842,7890,6289,5069
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
