,State,746,752,759,766,773,780,787
0,Washington,NaN,90363,60100,47203,41952,39145,37356
1,Illinois,NaN,61386,38961,30500,27869,27197,27162
2,California,NaN,329438,221025,178381,163994,159870,159277
3,Arizona,NaN,71234,46056,36254,32816,31194,30368
4,Massachusetts,NaN,31094,21539,17871,16753,16476,16649
5,Wisconsin,NaN,31681,19039,14763,13460,13062,13037
6,Texas,NaN,200258,147680,126157,115652,108642,101816
7,Nebraska,NaN,13151,8849,7211,6664,6378,6214
8,Utah,NaN,17549,10987,8734,8065,7915,7953
9,Oregon,NaN,33950,24717,20716,18609,17191,15850
10,Florida,NaN,177312,119939,95235,86678,83151,82479
11,New York,NaN,63672,46379,39895,38109,37960,38769
12,Rhode Island,NaN,18892,12544,9650,8484,7756,7170
13,Georgia,NaN,70708,52694,44435,41094,38984,37403
14,New Hampshire,NaN,9319,6953,5862,5498,5319,5184
15,North Carolina,NaN,100700,67707,53934,48988,46820,45645
16,New Jersey,NaN,27834,20715,18028,17307,17420,17955
17,Colorado,NaN,32050,22134,18294,16945,16422,16269
18,Maryland,NaN,12508,9317,8151,7783,7828,8023
19,Nevada,NaN,17846,10324,7819,7075,6856,6776
20,Tennessee,NaN,91106,69551,55920,46591,38386,31257
21,Hawaii,NaN,10101,6616,5299,4882,4780,4767
22,Indiana,NaN,48025,32290,25871,23636,22802,22355
23,Kentucky,NaN,54824,37738,29736,26112,23702,21856
24,Minnesota,NaN,60791,42531,34218,30363,27606,25303
25,Oklahoma,NaN,63846,46708,36688,30360,24953,20680
26,Pennsylvania,NaN,56618,40691,34106,32103,31559,31425
27,South Carolina,NaN,64778,46713,39005,36018,34550,33702
28,District of Columbia,NaN,786,404,212,132,75,40
29,Kansas,NaN,24614,15256,11851,10698,10325,10173
30,Missouri,NaN,36317,25531,21377,19837,19143,18643
31,Vermont,NaN,2443,1340,936,822,792,780
32,Virginia,NaN,49037,35861,29889,27863,26808,26275
33,Connecticut,NaN,11293,7706,6413,6014,5958,6013
34,Iowa,NaN,23930,17567,14885,13592,12737,11940
35,Louisiana,NaN,29012,21187,17933,16574,15876,15564
36,Ohio,NaN,43826,28709,23403,21831,21508,21671
37,Michigan,NaN,64965,42360,33536,30625,29351,28578
38,South Dakota,NaN,5146,3457,2844,2655,2583,2531
39,Arkansas,NaN,22881,16288,13578,12600,11967,11599
40,Delaware,NaN,4595,3095,2563,2423,2410,2475
41,Mississippi,NaN,31232,26293,23126,20401,17447,14611
42,New Mexico,NaN,19631,12744,9880,8834,8402,8062
43,North Dakota,NaN,8379,5750,4644,4257,4066,3972
44,Wyoming,NaN,5855,4147,3444,3141,2903,2691
45,Alaska,NaN,12376,8858,7192,6376,5684,5067
46,Maine,NaN,6956,6377,5985,5487,4833,4183
47,Alabama,NaN,75514,58199,51436,49129,48351,48258
48,Idaho,NaN,14171,10223,8421,7275,6278,5373
49,Montana,NaN,11267,8579,7037,5988,5000,4095
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,18976,13188,10468,9275,8515,7811
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
