,State,543,549,556,563,570,577,584
0,Washington,NaN,2666,3494,4264,4894,5297,5376
1,Illinois,NaN,1995,2594,3090,3468,3623,3664
2,California,NaN,15837,22448,28585,33303,35879,35375
3,Arizona,NaN,4169,4929,5370,5409,5133,4597
4,Massachusetts,NaN,352,405,428,426,404,364
5,Wisconsin,NaN,555,719,843,922,953,937
6,Texas,NaN,13467,19973,28177,37711,47059,52678
7,Nebraska,NaN,298,293,275,253,225,188
8,Utah,NaN,2116,2271,2255,2065,1749,1390
9,Oregon,NaN,932,1006,1021,990,909,804
10,Florida,NaN,17960,21750,23608,23389,21424,18079
11,New York,NaN,2890,3392,3627,3688,3552,3279
12,Rhode Island,NaN,41,28,18,13,8,7
13,Georgia,NaN,4503,6776,9207,11712,13561,14304
14,New Hampshire,NaN,27,23,20,14,14,7
15,North Carolina,NaN,3220,4898,6607,8265,9525,10109
16,New Jersey,NaN,1516,1541,1467,1316,1118,894
17,Colorado,NaN,2228,2283,2170,1970,1726,1447
18,Maryland,NaN,502,665,798,895,941,957
19,Nevada,NaN,4449,5095,5083,4571,3722,2807
20,Tennessee,NaN,1530,2394,3316,4170,4719,4878
21,Hawaii,NaN,522,694,863,997,1076,1075
22,Indiana,NaN,2014,2920,4036,5315,6419,7043
23,Kentucky,NaN,906,1085,1236,1382,1483,1505
24,Minnesota,NaN,577,768,948,1097,1211,1276
25,Oklahoma,NaN,1456,1855,2216,2540,2702,2704
26,Pennsylvania,NaN,649,668,671,669,654,631
27,South Carolina,NaN,868,1287,1699,2062,2350,2452
28,District of Columbia,NaN,52,48,35,27,21,13
29,Kansas,NaN,1658,2251,2793,3181,3290,3062
30,Missouri,NaN,10677,13049,14414,14490,13586,11667
31,Vermont,NaN,0,0,0,0,0,0
32,Virginia,NaN,1204,1537,1933,2422,2914,3364
33,Connecticut,NaN,381,463,514,524,512,475
34,Iowa,NaN,426,282,209,162,137,110
35,Louisiana,NaN,7039,10369,13439,15456,15649,14096
36,Ohio,NaN,1624,2168,2685,3126,3543,3767
37,Michigan,NaN,990,1203,1389,1537,1616,1626
38,South Dakota,NaN,14,9,7,3,0,0
39,Arkansas,NaN,5061,6491,7436,7678,6979,5684
40,Delaware,NaN,193,237,262,262,259,235
41,Mississippi,NaN,2019,2702,3298,3618,3629,3372
42,New Mexico,NaN,269,345,384,405,394,373
43,North Dakota,NaN,17,14,13,9,9,7
44,Wyoming,NaN,343,309,261,218,169,124
45,Alaska,NaN,332,436,517,561,560,508
46,Maine,NaN,64,55,45,34,26,21
47,Alabama,NaN,2801,4463,6233,7791,8727,8838
48,Idaho,NaN,524,592,638,640,619,576
49,Montana,NaN,196,176,155,125,100,77
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,105,90,87,80,79,72
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
