,State,361,367
0,Washington,3903,405
1,Illinois,20050,693
2,California,33615,4173
3,Arizona,11266,1636
4,Massachusetts,13652,467
5,Wisconsin,5906,293
6,Texas,32600,2407
7,Nebraska,1837,164
8,Utah,1493,135
9,Oregon,1800,251
10,Florida,24137,1524
11,New York,40993,1483
12,Rhode Island,2005,101
13,Georgia,12296,1023
14,New Hampshire,933,66
15,North Carolina,8083,679
16,New Jersey,20439,587
17,Colorado,5379,111
18,Maryland,6567,328
19,Nevada,3779,324
20,Tennessee,8391,527
21,Hawaii,321,17
22,Indiana,9310,148
23,Kentucky,3127,276
24,Minnesota,5995,158
25,Oklahoma,2987,213
26,Pennsylvania,19255,1372
27,South Carolina,6237,418
28,District of Columbia,850,37
29,Kansas,3489,425
30,Missouri,6468,283
31,Vermont,163,7
32,Virginia,5729,427
33,Connecticut,6594,243
34,Iowa,4323,30
35,Louisiana,8203,271
36,Ohio,10200,551
37,Michigan,14669,457
38,South Dakota,1656,42
39,Arkansas,4311,271
40,Delaware,1016,74
41,Mississippi,5521,375
42,New Mexico,2932,192
43,North Dakota,1406,49
44,Wyoming,522,70
45,Alaska,229,5
46,Maine,511,55
47,Alabama,6120,915
48,Idaho,1607,86
49,Montana,1092,17
50,Puerto Rico,1703,123
51,Virgin Islands,24,0
52,Guam,125,1
53,West Virginia,1776,185
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
