,State,396,402
0,Washington,4822,194
1,Illinois,22466,278
2,California,49345,1462
3,Arizona,15505,587
4,Massachusetts,15826,247
5,Wisconsin,6871,127
6,Texas,42162,103
7,Nebraska,2047,66
8,Utah,1852,51
9,Oregon,2155,1
10,Florida,29906,1073
11,New York,46812,768
12,Rhode Island,2376,88
13,Georgia,16744,849
14,New Hampshire,1154,16
15,North Carolina,10926,349
16,New Jersey,22858,371
17,Colorado,5892,42
18,Maryland,7715,107
19,Nevada,4872,141
20,Tennessee,11133,51
21,Hawaii,430,7
22,Indiana,12372,51
23,Kentucky,4447,76
24,Minnesota,6500,28
25,Oklahoma,4181,171
26,Pennsylvania,23565,356
27,South Carolina,8324,442
28,District of Columbia,995,5
29,Kansas,4573,320
30,Missouri,8059,320
31,Vermont,197,8
32,Virginia,7331,239
33,Connecticut,7523,127
34,Iowa,5336,221
35,Louisiana,9466,89
36,Ohio,16816,400
37,Michigan,16342,143
38,South Dakota,1863,15
39,Arkansas,5357,53
40,Delaware,1367,108
41,Mississippi,6553,18
42,New Mexico,3624,74
43,North Dakota,1468,6
44,Wyoming,662,5
45,Alaska,289,22
46,Maine,658,10
47,Alabama,9592,398
48,Idaho,1826,30
49,Montana,1342,10
50,Puerto Rico,1979,58
51,Virgin Islands,25,0
52,Guam,130,0
53,West Virginia,2261,35
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
