,State,284,290
0,Washington,2366,72
1,Illinois,10075,334
2,California,17671,379
3,Arizona,5979,127
4,Massachusetts,10013,187
5,Wisconsin,2363,459
6,Texas,18501,567
7,Nebraska,654,80
8,Utah,614,40
9,Oregon,691,71
10,Florida,16789,174
11,New York,33752,41
12,Rhode Island,1201,34
13,Georgia,7981,151
14,New Hampshire,483,7
15,North Carolina,4383,248
16,New Jersey,16354,76
17,Colorado,2288,64
18,Maryland,4152,55
19,Nevada,1781,43
20,Tennessee,3353,259
21,Hawaii,219,35
22,Indiana,4364,199
23,Kentucky,1489,79
24,Minnesota,2529,170
25,Oklahoma,1345,116
26,Pennsylvania,8803,169
27,South Carolina,3936,210
28,District of Columbia,646,8
29,Kansas,1029,86
30,Missouri,3038,343
31,Vermont,58,0
32,Virginia,3655,96
33,Connecticut,4616,43
34,Iowa,1733,76
35,Louisiana,5926,99
36,Ohio,5303,116
37,Michigan,7699,161
38,South Dakota,437,78
39,Arkansas,1958,111
40,Delaware,710,41
41,Mississippi,3348,82
42,New Mexico,1026,72
43,North Dakota,531,102
44,Wyoming,87,9
45,Alaska,83,15
46,Maine,147,1
47,Alabama,2973,86
48,Idaho,630,66
49,Montana,376,103
50,Puerto Rico,832,27
51,Virgin Islands,21,0
52,Guam,79,13
53,West Virginia,460,45
54,Northern Mariana Islands,2,0
55,American Samoa,0,NaN
