,State,403,409
0,Washington,4956,164
1,Illinois,22735,251
2,California,52158,2419
3,Arizona,15980,267
4,Massachusetts,16118,227
5,Wisconsin,7014,223
6,Texas,43697,1117
7,Nebraska,2082,45
8,Utah,1935,127
9,Oregon,2208,64
10,Florida,30852,787
11,New York,47615,726
12,Rhode Island,2502,152
13,Georgia,17295,612
14,New Hampshire,1170,14
15,North Carolina,11212,236
16,New Jersey,23252,326
17,Colorado,5951,44
18,Maryland,7869,141
19,Nevada,4957,36
20,Tennessee,11411,313
21,Hawaii,438,18
22,Indiana,12573,212
23,Kentucky,4637,199
24,Minnesota,6551,46
25,Oklahoma,4428,294
26,Pennsylvania,23967,319
27,South Carolina,8546,111
28,District of Columbia,1017,13
29,Kansas,4692,56
30,Missouri,8280,176
31,Vermont,204,9
32,Virginia,8552,1383
33,Connecticut,7622,64
34,Iowa,5471,154
35,Louisiana,9608,109
36,Ohio,17297,605
37,Michigan,16508,134
38,South Dakota,1888,25
39,Arkansas,5243,47
40,Delaware,1422,61
41,Mississippi,6681,106
42,New Mexico,3716,79
43,North Dakota,1475,8
44,Wyoming,671,1
45,Alaska,290,0
46,Maine,703,28
47,Alabama,9929,424
48,Idaho,1860,25
49,Montana,1357,18
50,Puerto Rico,2036,70
51,Virgin Islands,25,0
52,Guam,130,0
53,West Virginia,2300,15
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
