,State,382,388
0,Washington,4449,141
1,Illinois,21738,361
2,California,44155,2642
3,Arizona,14048,925
4,Massachusetts,14999,277
5,Wisconsin,6613,110
6,Texas,39322,2250
7,Nebraska,1968,62
8,Utah,1736,79
9,Oregon,2023,44
10,Florida,27696,1367
11,New York,44839,1238
12,Rhode Island,2212,50
13,Georgia,15092,817
14,New Hampshire,1104,57
15,North Carolina,9983,615
16,New Jersey,21989,453
17,Colorado,5731,79
18,Maryland,7349,190
19,Nevada,4520,198
20,Tennessee,10469,702
21,Hawaii,417,25
22,Indiana,11817,632
23,Kentucky,4051,327
24,Minnesota,6367,89
25,Oklahoma,3813,239
26,Pennsylvania,22416,564
27,South Carolina,7651,545
28,District of Columbia,952,49
29,Kansas,4075,195
30,Missouri,7449,738
31,Vermont,183,9
32,Virginia,6778,356
33,Connecticut,7214,85
34,Iowa,5108,348
35,Louisiana,9119,210
36,Ohio,11659,557
37,Michigan,15854,306
38,South Dakota,1809,35
39,Arkansas,5076,187
40,Delaware,1208,123
41,Mississippi,6269,279
42,New Mexico,3399,100
43,North Dakota,1453,4
44,Wyoming,624,33
45,Alaska,279,5
46,Maine,635,50
47,Alabama,8515,708
48,Idaho,1767,67
49,Montana,1314,72
50,Puerto Rico,1883,35
51,Virgin Islands,24,0
52,Guam,129,1
53,West Virginia,2129,79
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
