,State,410,416
0,Washington,5041,53
1,Illinois,23015,308
2,California,54220,2058
3,Arizona,16328,285
4,Massachusetts,16417,338
5,Wisconsin,7106,87
6,Texas,45315,1575
7,Nebraska,2113,36
8,Utah,1976,41
9,Oregon,2296,107
10,Florida,31683,820
11,New York,48335,710
12,Rhode Island,2541,43
13,Georgia,17906,531
14,New Hampshire,1184,12
15,North Carolina,11502,233
16,New Jersey,23574,238
17,Colorado,5990,34
18,Maryland,7955,46
19,Nevada,5037,67
20,Tennessee,11547,49
21,Hawaii,444,4
22,Indiana,12737,140
23,Kentucky,4819,174
24,Minnesota,6618,73
25,Oklahoma,4534,515
26,Pennsylvania,24334,299
27,South Carolina,8754,207
28,District of Columbia,1030,15
29,Kansas,4768,31
30,Missouri,8506,26
31,Vermont,208,1
32,Virginia,9596,1174
33,Connecticut,7704,55
34,Iowa,5558,121
35,Louisiana,9748,97
36,Ohio,17501,0
37,Michigan,16658,121
38,South Dakota,1900,6
39,Arkansas,5319,65
40,Delaware,1473,95
41,Mississippi,6808,105
42,New Mexico,3808,92
43,North Dakota,1479,2
44,Wyoming,682,0
45,Alaska,305,14
46,Maine,706,7
47,Alabama,10148,195
48,Idaho,1879,27
49,Montana,1381,28
50,Puerto Rico,2059,12
51,Virgin Islands,25,0
52,Guam,133,1
53,West Virginia,2325,7
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
