,Region,474,479,486,493,500
0,Belgium,,NaN,NaN,NaN,NaN
1,Bulgaria,,NaN,NaN,NaN,NaN
2,Czechia,,265,216,175,148
3,Denmark,,NaN,NaN,NaN,NaN
4,Germany,,1434,1156,860,613
5,Estonia,,NaN,NaN,NaN,NaN
6,Ireland,,29,27,24,20
7,Greece,,NaN,NaN,NaN,NaN
8,Spain,,NaN,NaN,NaN,NaN
9,France,,NaN,NaN,NaN,NaN
10,Croatia,,255,206,168,140
11,Italy,,1571,1361,1136,939
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,NaN,NaN,NaN,NaN
14,Lithuania,,NaN,NaN,NaN,NaN
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,570,394,303,241
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,145,140,133,125
19,Austria,,122,100,81,66
20,Poland,,1215,851,634,521
21,Portugal,,14,12,11,10
22,Romania,,NaN,NaN,NaN,NaN
23,Slovenia,,NaN,NaN,NaN,NaN
24,Slovakia,,207,169,138,117
25,Finland,,NaN,NaN,NaN,NaN
26,Sweden,,NaN,NaN,NaN,NaN
27,United Kingdom,,105,93,85,77
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,NaN,NaN,NaN,NaN
31,Switzerland,,NaN,NaN,NaN,NaN
